ano_mes,setor,ret_setor,n_empresas,data
2010-09,Saúde,0.05466744011015692,11,2010-09-30
2010-09,Tecnologia da Informação,0.0016659066551589774,7,2010-09-30
2010-09,Utilidade Pública,-0.006013266839114421,31,2010-09-30
2010-10,Bens Industriais,0.07036406456331225,35,2010-10-31
2010-10,Comunicações,0.14867062719939028,1,2010-10-31
2010-10,Consumo Cíclico,0.0464162862329168,57,2010-10-31
2010-10,Consumo não Cíclico,0.01672354760666519,15,2010-10-31
2010-10,Financeiro,0.05043470470037594,48,2010-10-31
2010-10,Materiais Básicos,0.037077053553500466,32,2010-10-31
2010-10,Outros,-0.20690272001219157,2,2010-10-31
2010-10,"Petróleo, Gás e Biocombustíveis",-0.004535278024391205,6,2010-10-31
2010-10,Saúde,0.057442524577196306,10,2010-10-31
2010-10,Tecnologia da Informação,0.0481942452856445,7,2010-10-31
2010-10,Utilidade Pública,0.022337913122037152,31,2010-10-31
2010-11,Bens Industriais,0.057498177519874905,34,2010-11-30
2010-11,Comunicações,-0.2322102693031587,1,2010-11-30
2010-11,Consumo Cíclico,-0.03025898883487719,58,2010-11-30
2010-11,Consumo não Cíclico,-0.01880482781548774,15,2010-11-30
2010-11,Financeiro,0.0028712724054029306,47,2010-11-30
2010-11,Materiais Básicos,-0.0345522902512179,32,2010-11-30
2010-11,Outros,-0.03647449982308393,2,2010-11-30
2010-11,"Petróleo, Gás e Biocombustíveis",-0.08569644665878262,6,2010-11-30
2010-11,Saúde,0.0023436303135738524,10,2010-11-30
2010-11,Tecnologia da Informação,-0.047382736711727026,7,2010-11-30
2010-11,Utilidade Pública,0.007349567482718143,34,2010-11-30
2010-12,Bens Industriais,-0.0030937165552799607,34,2010-12-31
2010-12,Comunicações,0.008129662008173888,1,2010-12-31
2010-12,Consumo Cíclico,0.018140330821839114,58,2010-12-31
2010-12,Consumo não Cíclico,0.023382223815232986,15,2010-12-31
2010-12,Financeiro,0.00022602452666957486,48,2010-12-31
2010-12,Materiais Básicos,0.025928999757665758,33,2010-12-31
2010-12,Outros,0.0026954243174384107,2,2010-12-31
2010-12,"Petróleo, Gás e Biocombustíveis",0.028676638284035216,6,2010-12-31
2010-12,Saúde,0.011251860676757874,10,2010-12-31
2010-12,Tecnologia da Informação,-0.0008422094381402687,7,2010-12-31
2010-12,Utilidade Pública,0.02992006382176087,30,2010-12-31
2011-01,Bens Industriais,-0.031457941796844247,35,2011-01-31
2011-01,Comunicações,-0.07199234669141852,1,2011-01-31
2011-01,Consumo Cíclico,-0.07291619408188511,58,2011-01-31
2011-01,Consumo não Cíclico,-0.058989966202502485,14,2011-01-31
2011-01,Financeiro,-0.04856314809007313,50,2011-01-31
2011-01,Materiais Básicos,-0.025382010498141833,33,2011-01-31
2011-01,Outros,-0.19952252084345767,2,2011-01-31
2011-01,"Petróleo, Gás e Biocombustíveis",-0.08056395340115503,6,2011-01-31
2011-01,Saúde,-0.0804818507313287,10,2011-01-31
2011-01,Tecnologia da Informação,-0.004177384015243131,7,2011-01-31
2011-01,Utilidade Pública,9.788914459181663e-05,33,2011-01-31
2011-02,Bens Industriais,-0.02541391477878151,35,2011-02-28
2011-02,Comunicações,-0.3302818125512976,1,2011-02-28
2011-02,Consumo Cíclico,-0.04378030528082935,59,2011-02-28
2011-02,Consumo não Cíclico,-0.013818924473985679,14,2011-02-28
2011-02,Financeiro,-0.00019805522968853717,49,2011-02-28
2011-02,Materiais Básicos,-0.01998806150492081,30,2011-02-28
2011-02,Outros,-0.07229061440555373,2,2011-02-28
2011-02,"Petróleo, Gás e Biocombustíveis",0.04211776104947007,6,2011-02-28
2011-02,Saúde,-0.024641329435169012,10,2011-02-28
2011-02,Tecnologia da Informação,-0.005724407051525586,6,2011-02-28
2011-02,Utilidade Pública,-0.03418581726756544,33,2011-02-28
2011-03,Bens Industriais,-0.007383782703399281,37,2011-03-31
