ticker,empresa_base,volume_total
EPAR4,EPAR,242429428.0
EQPA3,EQPA,336557166.0
EQTL3,EQTL,433829102292.0
ESPA3,ESPA,11776838742.0
ESTR4,ESTR,257870971.0
ETER3,ETER,24789619975.0
EUCA4,EUCA,2302630717.0
EVEN3,EVEN,43113450077.0
EZTC3,EZTC,104882502962.0
FBMC4,FBMC,8344920.0
FESA4,FESA,20319601831.0
FFTL4,FFTL,4895461362.0
FHER3,FHER,17407709175.0
FIBR3,FIBR,137389647764.0
FICT3,FICT,825102464.0
FIEI3,FIEI,225431605.0
FIGE4,FIGE,38774.0
FIQE3,FIQE,2416182404.0
FLRY3,FLRY,115274429187.0
FRAS3,FRAS,7726345341.0
FRIO3,FRIO,567454473.0
FRTA3,FRTA,106777528.0
FTRX4,FTRX,128392250.0
GAZO4,GAZO,3081014.0
GEPA4,GEPA,167284095.0
GETI4,GETI,18695032485.0
GETT3,GETT,248163859.0
GFSA3,GFSA,108166689194.0
GGBR4,GGBR,735187074501.0
GGPS3,GGPS,39259066600.0
GMAT3,GMAT,46897500845.0
GNDI3,GNDI,202032552961.0
GOAU4,GOAU,271353998282.59
GOLL4,GOLL,243916263239.0
GPAR3,GPAR,13669856.0
GRND3,GRND,34176246384.0
GSHP3,GSHP,2208620530.0
GVTT3,GVTT,966304102.0
HAGA4,HAGA,565405153.0
HAPV3,HAPV,408207220659.0
HBOR3,HBOR,22263526220.0
HBRE3,HBRE,1959618912.0
HBSA3,HBSA,24232899153.0
HBTS5,HBTS,56534030.0
HETA4,HETA,196749716.0
HGTX3,HGTX,107847453972.0
HOOT4,HOOT,476766188.0
HYPE3,HYPE,324114015738.0
IDVL4,IDVL,402163536.0
IENG3,IENG,215211170.0
IFCM3,IFCM,8477064678.0
IGBR3,IGBR,1692037303.0
IGTA3,IGTA,89384566487.0
IGTI11,IGTI,63310028654.0
IGUA6,IGUA,3467720.0
ILMD4,ILMD,11156695.0
IMBI4,IMBI,135782596.0
IMCH3,IMCH,5405156851.0
INEP4,INEP,2629840257.0
INTB3,INTB,41871213340.0
IRBR3,IRBR,267523302443.0
ISAE4,ISAE,119258311588.0
ITEC3,ITEC,3310725.0
ITSA4,ITSA,776871267510.0
ITUB4,ITUB,2400985365418.0
JALL3,JALL,6961819471.0
JFEN3,JFEN,982009671.0
JHSF3,JHSF,50764287356.0
JOPA3,JOPA,24302206.0
JSLG3,JSLG,16429067574.0
KEPL3,KEPL,22748260397.0
KLBN11,KLBN,270923820594.0
KRSA3,KRSA,802896023.0
KSSA3,KSSA,141830538.0
LAME4,LAME,251376531973.0
LAND3,LAND,1323372042.0
LATM11,LATM,971712321.0
LAVV3,LAVV,9204668231.0
LCAM3,LCAM,57764859751.0
LCSA3,LCSA,8483425.0
LEVE3,LEVE,29047013285.0
LFFE3,LFFE,8484839.0
LIGT3,LIGT,91679334583.0
LINX3,LINX,51182556721.0
LIPR3,LIPR,36709086.0
LIXC4,LIXC,41905349.0
LJQQ3,LJQQ,27320333491.0
LOGG3,LOGG,16224132129.0
LOGN3,LOGN,17762904519.0
LPSB3,LPSB,10954107374.0
LREN3,LREN,684374724548.0
LUPA3,LUPA,10737741725.0
LUXM4,LUXM,59230717.0
LWSA3,LWSA,119483632154.0
MAGG3,MAGG,7995975455.0
MAPT4,MAPT,20271817.0
MATD3,MATD,6002576135.0
MBRF3,MBRF,266227282696.0
MDIA3,MDIA,91527890376.2
MDNE3,MDNE,9095578959.0
MEAL3,MEAL,21909194800.0
MEDI3,MEDI,51566527.0
MELK3,MELK,2967454413.0
MEND6,MEND,11280394.0
MERC4,MERC,24476322.0
MGEL4,MGEL,282341970.0
MGLU3,MGLU,935227671590.0
MILS3,MILS,33177846077.0
MLAS3,MLAS,8852439825.0
MMAQ4,MMAQ,10200040.0
MMXM3,MMXM,40157214826.0
MNDL4,MNDL,6795650077.0
MNPR3,MNPR,743220443.0
MOAR3,MOAR,501022222.0
MODL11,MODL,3134850166.0
MOSI3,MOSI,7825406515.0
MOTV3,MOTV,376131058972.0
MOVI3,MOVI,69433135286.0
MPLU3,MPLU,28505113503.0
MRSL4,MRSL,19903344.0
MRVE3,MRVE,253512467215.0
MSPA3,MSPA,7433947.0
MTIG4,MTIG,476408164.0
MTRE3,MTRE,8406125009.0
MTSA4,MTSA,398500246.0
MULT3,MULT,273699301007.0
MWET4,MWET,176283586.0
MYPK3,MYPK,60970129374.0
NATU3,NATU,144030666006.0
NEOE3,NEOE,65148335343.0
NETC4,NETC,7587904669.0
NEXP3,NEXP,12133409730.0
NGRD3,NGRD,9922084355.0
NORD3,NORD,44127743.0
NTCO3,NTCO,333718171373.0
NUTR3,NUTR,40616187.0
OBTC3,OBTC,187340367.0
ODER4,ODER,129727.0
ODPV3,ODPV,67770307923.0
OFSA3,OFSA,1282565637.0
OGXP3,OGXP,250278469142.0
OIBR3,OIBR,160570951700.0
OMGE3,OMGE,21200406539.0
ONCO3,ONCO,21881009239.0
OPCT3,OPCT,5260360134.0
ORVR3,ORVR,20847669550.0
OSXB3,OSXB,10287952039.0
PARD3,PARD,15674657890.0
PATI3,PATI,26482211.0
PCAR4,PCAR,172316457146.0
PDGR3,PDGR,109671739128.0
PDTC3,PDTC,2083291201.0
