ano_mes,data,ibov,ret_ibov
2011-11,2011-11-30,56875.0,-0.025397804784461187
2011-12,2011-12-29,56754.0,-0.0021297388120267158
2012-01,2012-01-31,63072.0,0.10555079251122201
2012-02,2012-02-29,65812.0,0.04252526155409342
2012-03,2012-03-30,64511.0,-0.019966440627760207
2012-04,2012-04-30,61820.0,-0.04260881519267379
2012-05,2012-05-31,54490.0,-0.12620973810896174
2012-06,2012-06-29,54355.0,-0.002480592939043902
2012-07,2012-07-31,56097.0,0.03154572950696988
2012-08,2012-08-31,57061.0,0.017038535880699257
2012-09,2012-09-28,59176.0,0.03639518324193425
2012-10,2012-10-31,57068.0,-0.036272515032999664
2012-11,2012-11-30,57475.0,0.007106531396678051
2012-12,2012-12-28,60952.0,0.05873659852146318
2013-01,2013-01-31,59761.0,-0.019733394885081523
2013-02,2013-02-28,57424.0,-0.03989093988037595
2013-03,2013-03-28,56352.0,-0.018844602091455442
2013-04,2013-04-30,55910.0,-0.007874477275242597
2013-05,2013-05-31,53506.0,-0.043949457892169974
2013-06,2013-06-28,47457.0,-0.1199697592618314
2013-07,2013-07-31,48234.0,0.01624012868932745
2013-08,2013-08-30,50008.0,0.036118826055631104
2013-09,2013-09-30,52338.0,0.04553969204962627
2013-10,2013-10-31,54256.0,0.0359909007041459
2013-11,2013-11-29,52482.0,-0.03324333171750915
2013-12,2013-12-30,51507.0,-0.018752532902588825
2014-01,2014-01-31,47639.0,-0.07806596726045889
2014-02,2014-02-28,47094.0,-0.01150614912999437
2014-03,2014-03-31,50415.0,0.06814314547244749
2014-04,2014-04-30,51626.0,0.023736671708460833
2014-05,2014-05-30,51239.0,-0.007524460718668635
2014-06,2014-06-30,53168.0,0.03695575077726687
2014-07,2014-07-31,55829.0,0.04883673603251282
2014-08,2014-08-29,61288.0,0.0932906175697692
2014-09,2014-09-30,54116.0,-0.12445417447340645
2014-10,2014-10-31,54629.0,0.009434986538330747
2014-11,2014-11-28,54664.0,0.0006404801990331777
2014-12,2014-12-30,50007.0,-0.08904236184941716
2015-01,2015-01-30,46908.0,-0.0639747590302413
2015-02,2015-02-27,51583.0,0.0950039242413574
2015-03,2015-03-31,51150.0,-0.008429668442540006
2015-04,2015-04-30,56229.0,0.09467014564732068
2015-05,2015-05-29,52760.0,-0.06367931019584283
2015-06,2015-06-30,53081.0,0.006065720924997464
2015-07,2015-07-31,50865.0,-0.042643984528400125
2015-08,2015-08-31,46626.0,-0.08701673879055072
2015-09,2015-09-30,45059.0,-0.03418558332936783
2015-10,2015-10-30,45869.0,0.01781676550442235
2015-11,2015-11-30,45120.0,-0.016463900440411905
2015-12,2015-12-30,43350.0,-0.04001890396325258
2016-01,2016-01-29,40406.0,-0.07032841443520077
2016-02,2016-02-29,42794.0,0.0574196170534087
2016-03,2016-03-31,50055.0,0.15672449502668861
2016-04,2016-04-29,53911.0,0.07421213785433345
2016-05,2016-05-31,48472.0,-0.10634822708309244
2016-06,2016-06-30,51527.0,0.061119630489193
2016-07,2016-07-29,57308.0,0.10633428789924437
2016-08,2016-08-31,57901.0,0.010294425555846587
2016-09,2016-09-30,58367.0,0.008016006042689483
2016-10,2016-10-31,64925.0,0.1064820959191497
2016-11,2016-11-30,61906.0,-0.04761565202260343
2016-12,2016-12-29,60227.0,-0.02749634877634044
2017-01,2017-01-31,64671.0,0.07119212170953837
2017-02,2017-02-24,66662.0,0.030322196970406168
2017-03,2017-03-31,64984.0,-0.025493989681159235
2017-04,2017-04-28,65403.0,0.006427043222064555
2017-05,2017-05-31,62711.0,-0.042031258122902315
2017-06,2017-06-30,62900.0,0.0030092928585805367
2017-07,2017-07-31,65920.0,0.0468957218948205
2017-08,2017-08-31,70835.0,0.07191134323009862
2017-09,2017-09-29,74294.0,0.04767696593043169
2017-10,2017-10-31,74308.0,0.00018842276741182218
