ticker,delta_ipca,delta_selic,ibc_var,var_dolar
AALR3,-0.04351175329926728,0.06598510564494617,0.96673865319482,-1.4162007703259578
ABCB4,-0.028112422485996325,-0.005100067293260151,-0.44535434635384175,-1.5941808900724308
ABEV3,0.012923312239585101,0.012212863112337375,0.2820605990705656,-0.4489122136081027
ADHM3,-0.04713932209659405,0.05534851714606866,-3.0107845907258377,-1.644567057405395
AEDU3,0.07600169165770886,-0.014370209501590344,-3.999120783557256,-0.665141158159658
AELP3,-0.09089960477047561,0.11837316032035071,-0.46851968031681146,-1.0274154662964219
AERI3,-0.13650025224361143,-0.024363323687758565,0.4812788515252313,-1.3869319628506138
AFLT3,-0.04765138942708127,-0.06279250717531151,1.8469411168984875,-0.6497995432531766
AGRO3,-0.029977378080123223,-0.015118121013801077,-0.5163191560347096,-0.5478598371320098
AGXY3,-0.21292478745113438,0.11752215001543963,0.6515485928952125,-2.5435896601284314
ALLD3,-0.16074651422526354,-0.01945404451125597,-1.2750145432930586,-3.692405421732884
ALOS3,-0.018991193561409343,-0.009592269067071061,0.5611236265293738,-1.1874225199462929
ALPA4,-0.030270815624733757,0.003383797900485905,0.6502017548264769,-0.6222843026228426
ALPK3,-0.16313851881333774,-0.09778340847231454,-4.279449181551558,-3.38032635658564
ALSC3,-0.015439431385848124,-0.021481016465751544,0.3919091301033433,-0.9975786229176251
ALUP11,-0.03746721750131933,0.012378150087853333,-0.0923291535858316,-0.7021746355005556
AMAR3,-0.08277200241472403,0.003518391398141439,-0.6233869771486815,-2.526239016148655
AMBP3,0.24444616041595532,0.17660989775157002,1.1390357621282712,0.322841981554002
AMBV4,0.07373266074231322,0.012670310316457687,-0.699778987681023,0.1927856783614588
AMER3,-0.09690031105707467,-0.04980698454607901,-2.4908902427798427,-1.6775619119550733
AMIL3,-0.06951701514060521,-0.02295140683557558,0.24046914678616105,-0.7291353552641355
ANIM3,-0.11526988418159376,0.0003055699322642019,-0.02678461598894899,-2.2019895948664274
APER3,0.01923713434689287,-0.06761909720390938,-0.15887660079073096,-1.8132001758758487
ARML3,-0.01691426017241565,-0.001384931041641023,2.585450683514197,-2.6485419667588683
ARND3,0.06783513406484865,-0.14026213086728753,-4.523967140155467,-2.320590617511062
ARTR3,-0.025055923051256253,-0.04123578281755227,-1.92908124033621,-0.4071317748784229
ASAI3,-0.050152149266904894,0.00508108293686307,2.103424999100714,-2.299058528719711
AURE3,-0.011817445940862675,-0.012550794467979173,-0.10131256601290772,-0.9136233532167366
AUTM3,0.012544876684129964,-0.04765914932625534,-1.4258963815602925,-0.5681749809882244
AVLL3,-0.11813942695129849,-0.04473537607065829,-4.512282253150255,-4.0376616889323405
AXIA3,-0.03313163042887528,0.023181143389405294,-0.8734149361245519,-1.90615030205749
AZEV4,0.0409106306549671,-0.053823051722108745,-3.256871338586957,-3.8781171956450433
AZUL4,-0.09903330105008751,-0.11798559811902082,-1.0341266329499328,-4.730827991445777
AZZA3,-0.03924972461779745,-0.03782051602663156,-0.05061972759891098,-1.41586890010465
B3SA3,-0.07650720833113603,-0.052740632365281426,-1.0372291770927584,-2.131643836648811
BALM4,-0.05499702342603127,-0.02702779802006612,0.8075345072738369,-1.8281990871965441
BAUH4,0.011361634991455071,-0.04229749001430681,-0.662927513967091,-0.6792337730503429
BAZA3,0.014515092540658102,-0.01822059615591468,-0.4194832695866429,-0.6773763000824298
BBAS3,-0.05277765356155131,0.005143450009895703,-0.6093020529936553,-2.036318494676945
BBDC4,-0.05508735314510629,-0.005546965056207349,-0.2491871413894704,-1.5182758542257688
BBSE3,-0.01824904227857538,0.007653582478390696,-0.31955748241239723,-1.0392488129265693
BDLL4,-0.1177127255148465,0.0015451246835187574,2.1273883633873383,-1.7780782414058862
BEEF3,-0.025253384500994402,-0.016511552079788928,-1.5771043894519228,-0.6530245173404452
BEES3,-0.02431549907509088,-0.009690512778965921,0.1589471763062324,-0.9855474027596949
BEMA3,0.00839881268401111,-0.03163151125497294,-1.8154895035295855,-0.48325874811224595
BGIP4,-0.010508091317348596,-0.03972629811939588,1.3944756244998198,-1.270402974442621
BHGR3,0.11301768299971263,0.0443823512546805,-0.6941716014545243,-0.7706799707088572
BHIA3,-0.2651647331501732,-0.053515029380222644,-0.4729701001111071,-3.9417360911763386
BICB4,0.06767997687200754,0.12109152815384719,-0.9790377439305262,-0.5215844569614048
BIED3,-0.010788845320412724,-0.04630445286457608,1.0731850755141155,-0.41937077891873076
BIOM3,-0.022628761896699125,-0.12634034456362245,0.29571991908300144,-0.8158714778617481
BISA3,-0.003888865453465522,0.03287466675733066,-6.159008947585643,-1.1429925056699595
BLAU3,0.022146388568795618,0.02105377421702522,-0.25411311671782966,-1.1997992070672567
BLUT4,-0.055338576510877556,0.056141634104394336,-1.2286906805455806,-1.6237197686976594
BMEB4,0.008777310595749977,-0.0412922997597809,1.24879319281834,-0.36826901082370317
BMGB4,-0.005857886428062498,-0.05881222909073111,-1.710959227921967,-2.2575955210423553
BMIN4,-0.05361254256445877,-0.008512758637289343,-0.9022741293051457,-1.228850580887416
BMKS3,-0.0213554940231868,0.016715645447576852,1.27394532639772,-0.23934551824966918
BMOB3,-0.035944487417088375,0.03425089262060242,3.514990418903939,-1.755102046708731
BMTO4,-0.02017929194574693,0.03961421576057528,-0.18045607811110453,-0.4204421512013728
BNBR3,0.008650727210652288,-0.04627989772953364,-0.05358183752965873,-0.6819488069222873
BOBR4,-0.03586012168498066,-0.09297665517917719,-1.2397189251538367,-1.7233220051392295
BPAC11,-0.06003487788299913,-0.03386931387626187,0.37600987468490255,-2.353112938058605
BPAN4,-0.05475254699716911,-0.03389050780477117,1.96739585434561,-2.0063383259314533
BPHA3,-0.031997238815461786,-0.03785783138145453,4.923809242722806,-1.5540193608394905
BRAP4,-0.06519606127581037,-0.06408234950494217,-0.13985695883839122,-1.222196266338408
BRAV3,-0.054495914954695385,-0.009543831763086999,-2.846768304243645,-1.2716027568959143
BRBI11,-0.10318475343837147,-0.037757157524905736,-2.1176752872475797,-3.32631321105968
BRFS3,-0.02045649450078247,-0.0044904505874394825,-0.837972213653283,-0.6289175848329083
BRIT3,0.16837633444089647,-0.11824412649464883,-3.7999336317584564,-3.1311212515024676
BRIV4,-0.007368419951150883,-0.016514624519967658,-0.4580143575178518,-0.3255744744913477
