subsetor,variavel,correlacao
"Serv.Méd.Hospit.,Análises e Diagnósticos",var_dolar,-0.31405666069444255
"Serv.Méd.Hospit.,Análises e Diagnósticos",ibc_var,0.06463644315248325
Serviços,delta_selic,-0.00832830307001195
Serviços,delta_ipca,-0.12571745152930222
Serviços,var_dolar,-0.2611059607892926
Serviços,ibc_var,0.042128159799540967
Serviços Financeiros Diversos,delta_selic,-0.19154016540973137
Serviços Financeiros Diversos,delta_ipca,0.01066250628588707
Serviços Financeiros Diversos,var_dolar,-0.38344283591063666
Serviços Financeiros Diversos,ibc_var,0.1580259552653695
Siderurgia e Metalurgia,delta_selic,-0.06455612868696572
Siderurgia e Metalurgia,delta_ipca,-0.06990384723130583
Siderurgia e Metalurgia,var_dolar,-0.4022719187130831
Siderurgia e Metalurgia,ibc_var,0.1505381775320708
"Tecidos, Vestuário e Calçados",delta_selic,-0.09236010373144446
"Tecidos, Vestuário e Calçados",delta_ipca,0.006483568525268261
"Tecidos, Vestuário e Calçados",var_dolar,-0.48987599293647943
"Tecidos, Vestuário e Calçados",ibc_var,0.21588133633431572
Telecomunicações,delta_selic,-0.2545532817238578
Telecomunicações,delta_ipca,0.06742379194005481
Telecomunicações,var_dolar,-0.22151286087816768
Telecomunicações,ibc_var,0.0612924314974738
Transporte,delta_selic,-0.15621551366983757
Transporte,delta_ipca,-0.049660675635406264
Transporte,var_dolar,-0.5454831113967281
Transporte,ibc_var,0.22124453583000592
Utilidades Domésticas,delta_selic,-0.16246225559855082
Utilidades Domésticas,delta_ipca,0.027387721142205685
Utilidades Domésticas,var_dolar,-0.3171431297302554
Utilidades Domésticas,ibc_var,0.18757494566092073
Viagens e Lazer,delta_selic,-0.045426690321091596
Viagens e Lazer,delta_ipca,0.01677046639136597
Viagens e Lazer,var_dolar,-0.4395681315527052
Viagens e Lazer,ibc_var,0.19066866891333067
Água e Saneamento,delta_selic,-0.08517319286421335
Água e Saneamento,delta_ipca,0.004759536180251157
Água e Saneamento,var_dolar,-0.267784918898579
Água e Saneamento,ibc_var,0.10456514773071122
