ticker,delta_ipca_lag
NORD3,4.9597664949955105
BSLI3,2.944771132158713
LIXC4,2.6329916992288775
SMLS3,2.605363394936944
BHIA3,2.3720353284099964
RCSL3,2.1875399050131192
ONCO3,2.060110094359126
BSEV3,1.9014190237947113
SLED4,1.715494939623657
BPHA3,1.6120535303096934
BLUT4,1.5703869251322902
IMBI4,1.507008020081498
WEST3,1.4910095889223274
HETA4,1.4859281402197866
IGBR3,1.442549513530475
AEDU3,1.4112625162876433
VVEO3,1.3559456847348825
MEAL3,1.3079547202251238
CMIN3,1.2834989488514934
COGN3,1.250786398174631
MNPR3,1.237844687176258
VSTE3,1.2095228585448548
HBTS5,1.1917003699579607
ELMD3,1.1569322463096148
MOAR3,1.1343015757612993
LWSA3,1.1282343008277986
PMAM3,1.1231680967115683
MATD3,1.1072042889667657
EPAR4,1.092634182353059
SIMH3,1.085397140242914
SEER3,1.0535796717294605
CSNA3,1.0384631535421172
FIBR3,1.0353132426180263
DOTZ3,1.0317239585814533
AFLT3,1.0306182540963498
LAVV3,1.027343225929108
MDNE3,1.021272850142472
RSIP3,1.0161666712110542
RNEW11,0.9830447688051187
YDUQ3,0.9730993381275513
CTAX3,0.9544186683056938
CCXC3,0.9525958812324004
BMOB3,0.9254311607041709
TEND3,0.921926097030475
IMCH3,0.9202577942275058
TRPN3,0.9132601779231834
IRBR3,0.909782109497372
WLMM4,0.9084710441510981
CPRE3,0.8971473113368542
CEDO4,0.895285339682164
AMAR3,0.8909830576155645
VLID3,0.8815129120753327
TGMA3,0.8791793444505568
TPIS3,0.8783840021464641
LIGT3,0.8582747211087461
TTEN3,0.8530878046394266
AZEV4,0.8450639918268869
BIOM3,0.8352370473209071
FICT3,0.830345020494169
FRAS3,0.8249029265064804
BDLL4,0.8235828844773128
MTRE3,0.8124374922215837
LOGG3,0.8062159798841422
CIEL3,0.7945480959249822
RPMG3,0.7829647716278169
ENAT3,0.7829506024284774
EMBJ3,0.7669276661667936
BPAN4,0.7585631031306278
BHGR3,0.7580493703109624
BMTO4,0.7499313085143038
GMAT3,0.744088544408766
AMIL3,0.7435686781219929
OPCT3,0.7419869518845985
LOGN3,0.7415302531666267
MELK3,0.7397492059928704
RIAA3,0.7351712423117499
HBOR3,0.733331450238554
SHOW3,0.7329074587056171
LEVE3,0.7239476855633227
GOLL4,0.7101614217079996
FHER3,0.7081052375883493
POMO4,0.7075771835607947
CYRE3,0.7052830536516425
PTNT4,0.6826497552527407
CASH3,0.6747104621375841
DXCO3,0.6728137104583185
CRPG5,0.672434669136625
MMXM3,0.670442296060481
TCNO4,0.6659868268513606
HBRE3,0.6552577447681308
FRTA3,0.6512533472359843
BRAP4,0.6462138352113467
VALE3,0.6444319061236103
LCAM3,0.6362061190848675
BRIT3,0.6361892947462446
LAND3,0.6298458665632313
PCAR4,0.6296168981627944
MYPK3,0.6276769988253816
TUPY3,0.6268662566090745
ASAI3,0.622023151432275
TECN3,0.6213257573420559
ARTR3,0.6142143169150964
GGBR4,0.6117241146110374
VBBR3,0.6092813935704985
BRFS3,0.606564474051179
IGTI11,0.5910608316246383
USIM5,0.5868603773080182
BAUH4,0.583512352288132
SMLE3,0.5768681832590508
SBSP3,0.5745655514146054
POSI3,0.5740035428472303
PDTC3,0.5737205296768143
CAMB3,0.5716501226916725
MAGG3,0.5690821573419484
OFSA3,0.5452362152590203
SYNE3,0.5396976226645419
PRML3,0.526836098386783
GSHP3,0.5256239256430938
BLAU3,0.5244346643616918
CBAV3,0.5239522616116641
WHRL4,0.5235796357369378
ORVR3,0.5234780909326036
SAPR11,0.5185885230806034
SEDU3,0.5167122775175728
GOAU4,0.5098431979983687
BRPR3,0.509082927415581
ALPK3,0.5068930956762163
MULT3,0.4982572004810392
CSUD3,0.49282667343409997
PFRM3,0.49133001111354163
JHSF3,0.4897774496078915
EKTR4,0.48971876501932
SCAR3,0.4896568248567715
LUXM4,0.48012660909371147
AUTM3,0.47667930696404065
MPLU3,0.4755525110093483
IGTA3,0.4747699441083949
BBDC4,0.4705939164698796
UGPA3,0.46283307117260775
RANI3,0.4568943519526504
BEMA3,0.45405696052619504
RAIZ4,0.4403056290756208
FESA4,0.43947466576070465
EQTL3,0.42345046872898096
NEOE3,0.4160639773596189
ENGI11,0.41147898063141536
BMGB4,0.4022101755442476
ETER3,0.3979676866819475
EALT4,0.3846108966496588
CRIV4,0.3745643153107883
TAEE11,0.37076833773724716
ECOR3,0.36525568860807744
CSMG3,0.35832296564282584
BAZA3,0.3548476538770769
ALOS3,0.3396620121997424
ITSA4,0.33831198953232267
ODPV3,0.33545751807248037
LUPA3,0.3350543947191637
COCE5,0.33069526958370304
ITUB4,0.32774134335105354
EUCA4,0.32205550599069405
CGRA4,0.3185494992798033
SANB11,0.3103991191089974
DOHL4,0.3042350931141708
VAMO3,0.2991937355416596
TRIS3,0.28657612480373074
GEPA4,0.2756924215698004
TOTS3,0.26673244181408123
FIQE3,0.2638556750988382
CLSC4,0.2629489906150074
BMKS3,0.2564883599690017
RDNI3,0.22541701819932813
LIPR3,0.22236953321519076
APER3,0.21870207937824512
CGAS5,0.21869774120729996
BMEB4,0.21470954701160458
HAGA4,0.2007537040457269
BRIV4,0.19439436520385808
PSSA3,0.19193773734965833
HGTX3,0.19155058902576774
SNSY5,0.1872015715536469
SMFT3,0.1783338142814645
GRND3,0.1596363339160139
TIMS3,0.1559184852740569
ABEV3,0.14850573278123452
TESA3,0.13676488700913583
ESPA3,0.12658268102438522
ABCB4,0.11429166781323435
