index,ret_ibov,delta_selic,delta_ipca,var_dolar,ibc_var
ret_ibov,1.0,-0.12448971555345867,-0.003770169739057208,-0.5811197691825892,0.1426124429979239
delta_selic,-0.12448971555345867,1.0,-0.0796605659706016,0.0247428359239402,-0.05018281577787387
delta_ipca,-0.003770169739057208,-0.0796605659706016,1.0,-0.06857283013726706,0.1644913603634089
var_dolar,-0.5811197691825892,0.0247428359239402,-0.06857283013726706,1.0,-0.33094860463552317
ibc_var,0.1426124429979239,-0.05018281577787387,0.1644913603634089,-0.33094860463552317,1.0
