data,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2003-02-28,1.57,3.5908,25.68,71.72228,0.04336877199428746,0.620000000000001,-0.6799999999999999,0.016812889125551678
2003-03-31,1.23,3.4469,26.32,71.37508,-0.04089974252045914,0.6400000000000006,-0.3400000000000001,-0.004840894628558967
2003-04-30,0.97,3.1187,26.32,70.86834,-0.10005902805488875,0.0,-0.26,-0.007099676805966348
2003-05-31,0.61,2.9557,26.31,70.15872,-0.05368073888736946,-0.010000000000001563,-0.36,-0.010013216056704577
2003-06-30,-0.15,2.8832,26.09,70.29779,-0.02483472100579731,-0.21999999999999886,-0.76,0.001982219744031788
2003-07-31,0.2,2.8798,25.36,69.44384,-0.0011799411398487614,-0.7300000000000004,0.35,-0.012147608054250525
2003-08-31,0.34,3.0025,23.5,69.98244,0.041724427679968645,-1.8599999999999994,0.14,0.0077559075074189465
2003-09-30,0.78,2.9228,21.02,71.50541,-0.026903214037075962,-2.4800000000000004,0.44,0.021762173482376523
2003-10-31,0.29,2.8615,19.54,71.53661,-0.02119609806790579,-1.4800000000000004,-0.49000000000000005,0.000436330621697012
2003-11-30,0.34,2.9138,18.31,71.60908,0.018112108370738733,-1.2300000000000004,0.050000000000000044,0.0010130477247944913
2003-12-31,0.52,2.9253,16.91,71.39244,0.0039389682892874145,-1.3999999999999986,0.18,-0.00302531466679945
2004-01-31,0.76,2.8518,16.32,72.75762,-0.02544666566116427,-0.5899999999999999,0.24,0.019122192769990942
2004-02-29,0.61,2.9303,16.3,73.46043,0.027154433000188494,-0.019999999999999574,-0.15000000000000002,0.009659606787577601
2004-03-31,0.47,2.9055,16.19,74.30563,-0.008499314333046959,-0.10999999999999943,-0.14,0.011505513920895716
2004-04-30,0.37,2.906,15.96,74.72688,0.00017207261506801963,-0.23000000000000043,-0.09999999999999998,0.005669153198754939
2004-05-31,0.51,3.1004,15.77,74.63731,0.06475357027712803,-0.19000000000000128,0.14,-0.0011986316035139666
2004-06-30,0.71,3.1291,15.8,75.24325,0.009214287843206659,0.030000000000001137,0.19999999999999996,0.008118459789078658
2004-07-31,0.91,3.0368,15.77,75.56632,-0.029941093834954247,-0.030000000000001137,0.20000000000000007,0.004293674183398544
2004-08-31,0.69,3.0029,15.86,75.90818,-0.011225841020036986,0.08999999999999986,-0.22000000000000008,0.004523973113948143
2004-09-30,0.33,2.8911,16.09,76.70298,-0.037941435870220364,0.23000000000000043,-0.35999999999999993,0.0104705448082143
2004-10-31,0.44,2.8529,16.41,76.28131,-0.01330103174984032,0.3200000000000003,0.10999999999999999,-0.005497439604041365
2004-11-30,0.69,2.786,16.96,76.98877,-0.02372914543575999,0.5500000000000007,0.24999999999999994,0.00927435567113366
2004-12-31,0.86,2.7182,17.5,76.40105,-0.02463697881850424,0.5399999999999991,0.17000000000000004,-0.007633840623768928
2005-01-31,0.58,2.693,17.93,76.91054,-0.009314082709647953,0.4299999999999997,-0.28,0.006668625627527458
2005-02-28,0.59,2.5978,18.47,77.38994,-0.035990880838415396,0.5399999999999991,0.010000000000000009,0.006233215889525745
2005-03-31,0.61,2.7047,18.97,77.46827,0.04032606742677369,0.5,0.020000000000000018,0.0010121470568398294
2005-04-30,0.87,2.5792,19.32,77.9753,-0.04751172708764806,0.3500000000000014,0.26,0.006545002231236108
2005-05-31,0.49,2.4528,19.61,77.925,-0.05024904419475951,0.28999999999999915,-0.38,-0.0006450760689603596
2005-06-30,-0.02,2.4135,19.75,77.50863,-0.01615225301700207,0.14000000000000057,-0.51,-0.0053432146294514204
2005-07-31,0.25,2.3735,19.72,77.46885,-0.016712317109174868,-0.030000000000001137,0.27,-0.0005132331715834715
2005-08-31,0.17,2.3606,19.75,78.04541,-0.005449834996404168,0.030000000000001137,-0.07999999999999999,0.007442475265864834
2005-09-30,0.35,2.2944,19.61,77.86005,-0.028444452589667324,-0.14000000000000057,0.17999999999999997,-0.0023750275640810337
2005-10-31,0.75,2.2565,19.25,77.99252,-0.01665643113824533,-0.35999999999999943,0.4,0.0017013860124672764
2005-11-30,0.55,2.2108,18.87,78.51795,-0.02046049930794802,-0.379999999999999,-0.19999999999999996,0.006736928105413265
2005-12-31,0.36,2.2855,18.24,79.11424,0.033230377812691114,-0.6300000000000026,-0.19000000000000006,0.007594314421097259
2006-01-31,0.59,2.2739,17.65,79.74946,-0.005088399802053556,-0.5899999999999999,0.22999999999999998,0.008029148734791658
2006-02-28,0.41,2.1619,17.28,79.82652,-0.05050895430932667,-0.36999999999999744,-0.18,0.0009662761352866589
2006-03-31,0.43,2.152,16.74,79.67116,-0.004589822378743724,-0.5400000000000027,0.020000000000000018,-0.0019462203788916943
2006-04-30,0.21,2.1293,16.19,80.18482,-0.010604355089322115,-0.5499999999999972,-0.22,0.006447251426990652
2006-05-31,0.1,2.1781,15.7,81.19881,0.022659649928829406,-0.490000000000002,-0.10999999999999999,0.01264566036314596
2006-06-30,-0.21,2.2483,15.18,80.3511,0.03172143794577442,-0.5199999999999996,-0.31,-0.01043993132411658
2006-07-31,0.19,2.1893,14.98,81.79416,-0.026592517053666387,-0.1999999999999993,0.4,0.017959430549177258
2006-08-31,0.05,2.1559,14.66,81.79989,-0.015373588249328995,-0.3200000000000003,-0.14,7.005390115866206e-05
2006-09-30,0.21,2.1687,14.17,81.96978,0.005919639910399677,-0.4900000000000002,0.15999999999999998,0.002076897658419785
