variavel,coef,pvalor,ticker,r2
const,-0.02355480148809473,0.34226208453845,AALR3,0.11975201819493331
delta_ipca_lag,-0.023244316708962057,0.7151043809140047,AALR3,0.11975201819493331
delta_selic_lag,0.09479382628211014,0.14073020278191403,AALR3,0.11975201819493331
ibc_var_lag,0.7693061692169046,0.6325220070011122,AALR3,0.11975201819493331
var_dolar_lag,-1.3358581227675366,0.13446327730603178,AALR3,0.11975201819493331
const,0.015287684932824046,0.03835277770804942,ABCB4,0.31835965089212637
delta_ipca_lag,0.007888337628350504,0.7294534890093869,ABCB4,0.31835965089212637
delta_selic_lag,0.009037113655981172,0.6650834896445328,ABCB4,0.31835965089212637
ibc_var_lag,0.34625294058491396,0.5086020650217882,ABCB4,0.31835965089212637
var_dolar_lag,-1.4340865327743875,3.123173455565369e-10,ABCB4,0.31835965089212637
const,0.004516751812849263,0.47745705317400855,ABEV3,0.15952936165354237
delta_ipca_lag,0.011723747408742371,0.5014335555618252,ABEV3,0.15952936165354237
delta_selic_lag,-0.022848477538466187,0.17248574276770454,ABEV3,0.15952936165354237
ibc_var_lag,0.6799593758293061,0.09241898438899475,ABEV3,0.15952936165354237
var_dolar_lag,-0.4964462997368207,0.005522370135338945,ABEV3,0.15952936165354237
const,-0.0017907798475896436,0.9665647242030253,ADHM3,0.36173416111996937
delta_ipca_lag,-0.20837504843981589,0.023512001478883965,ADHM3,0.36173416111996937
delta_selic_lag,0.0754273303314665,0.4946601796607052,ADHM3,0.36173416111996937
ibc_var_lag,-0.30437115069983367,0.8528397797164708,ADHM3,0.36173416111996937
var_dolar_lag,1.3971430749309033,0.15057499101324018,ADHM3,0.36173416111996937
const,0.020772387347235202,0.30123149435114405,AEDU3,0.44674394356455205
delta_ipca_lag,0.15327926623547075,0.15485678251723417,AEDU3,0.44674394356455205
delta_selic_lag,-0.16476769071337677,0.031774772533922295,AEDU3,0.44674394356455205
ibc_var_lag,-6.287316831008726,0.04391887887510181,AEDU3,0.44674394356455205
var_dolar_lag,-1.2999073667304286,0.05541261143440802,AEDU3,0.44674394356455205
const,-0.06559969611416888,0.00665961909996811,AELP3,0.24469957325659508
delta_ipca_lag,-0.12615558780646427,0.1259354566737317,AELP3,0.24469957325659508
