ticker,var_dolar_lag
ONCO3,-3.95346320633955
BRIT3,-2.842226605264835
LJQQ3,-2.510414348159853
AVLL3,-2.1026807198109587
AZUL4,-2.100707665053877
ENJU3,-2.0169698409560985
SOMA3,-2.0132664691004325
ESPA3,-1.9771105746257451
TOKY3,-1.8387030079612352
GOLL4,-1.800932172242094
ALPK3,-1.7734965317969749
AZEV4,-1.6918935006262
PDGR3,-1.6838144202161882
IFCM3,-1.622068482119137
SEQL3,-1.6012291231040285
MLAS3,-1.5944881253143208
SMFT3,-1.5564635546976753
VIVR3,-1.5517095582004876
BHIA3,-1.5471765234804407
DTCY3,-1.425435243188765
TOYB4,-1.406231084326545
RSID3,-1.3961980485543595
MGLU3,-1.3939590954827974
MEAL3,-1.3838100276493388
CTKA4,-1.3579395999763946
TRAD3,-1.3413010091497628
NTCO3,-1.3155981058026816
RJCP3,-1.3002156609194147
CEAB3,-1.288078710659594
BRAV3,-1.2813129746936145
BRBI11,-1.2404643198841456
IRBR3,-1.2231826263269714
MTRE3,-1.2163290793310086
PLAS3,-1.1904903995902067
MATD3,-1.1879340958649391
LUPA3,-1.15900587078782
IMCH3,-1.1017972923609005
JFEN3,-1.0803433015217763
AMAR3,-1.0724594190699066
SMLS3,-1.0631129289029824
TESA3,-1.0534404311725707
LIXC4,-1.041223562149376
CVCB3,-1.0237790781920857
TGMA3,-0.9936959946680706
NEXP3,-0.97343236525147
PMET6,-0.9660142149390021
STBP3,-0.9517129893881592
GMAT3,-0.9512503644336526
MOVI3,-0.9481278691146583
SHOW3,-0.9416248666524419
RIAA3,-0.9400858022133696
CTNM4,-0.935916551654871
LPSB3,-0.933425912020029
SGPS3,-0.9262751766589362
ANIM3,-0.9139962841120852
IDVL4,-0.9133370569752275
CASH3,-0.8927418022961222
BRSR6,-0.8897573092961683
BBAS3,-0.8592128323233188
BSEV3,-0.8591868065226157
DESK3,-0.8503046629604456
CEDO4,-0.8464318248017705
OIBR3,-0.8411383480456269
PETZ3,-0.8369799203660122
GFSA3,-0.8342900386491977
LAVV3,-0.8146271543100353
HBOR3,-0.8096385492125481
RCSL3,-0.7677858427906316
BPAC11,-0.7646779767803034
OPCT3,-0.7555841238391153
GGPS3,-0.7451742029910058
CSED3,-0.7374035482792057
SMLE3,-0.7297561119511013
TCSA3,-0.7238648662195243
IMBI4,-0.7180833762532915
PETR4,-0.7132338893037868
LOGG3,-0.6975033384146259
PTBL3,-0.6944176456774979
BPHA3,-0.6881169291457055
BPAN4,-0.676529054420503
ALLD3,-0.6745289046321388
RANI3,-0.6647943163420976
POSI3,-0.6568168330191262
CMIN3,-0.6526919148701358
APER3,-0.648782283181543
CYRE3,-0.6432550601081292
COGN3,-0.638001069907482
EVEN3,-0.636699543751335
BDLL4,-0.6361897100778527
TECN3,-0.6337785271286442
MDNE3,-0.6307265147710143
MGEL4,-0.6287182487789271
SBFG3,-0.619949792195342
AXIA3,-0.6177910258027449
BMOB3,-0.6109382250368512
USIM5,-0.6099014467426886
JHSF3,-0.5985956891860318
SRNA3,-0.5913880775513946
TEND3,-0.5865744420867322
DMVF3,-0.5755750999365552
EZTC3,-0.5743002586176258
BLUT4,-0.5720769375004098
TEKA4,-0.5553268165130109
JSLG3,-0.5548271661332427
MILS3,-0.5475370543022617
LOGN3,-0.5473224664935777
FRTA3,-0.545039224515537
TXRX4,-0.5439649847883481
VIVA3,-0.5302284022556112
ORVR3,-0.5215897617358731
SIMH3,-0.5202698668192811
LIGT3,-0.5178693933363221
WIZC3,-0.5176523538839553
PMAM3,-0.5130826922272498
VSTE3,-0.5038369100066252
CMIG4,-0.4955444119871393
TERI3,-0.48992100393018584
TFCO4,-0.4891981584225912
ETER3,-0.47272438329414346
RAPT4,-0.4629752969915418
BALM4,-0.45365835881961813
DXCO3,-0.4373802473542222
DIRR3,-0.428949505754577
TCNO4,-0.4092197864158935
PRIO3,-0.40453822210861456
ABCB4,-0.3965537930491707
BBDC4,-0.39111940413474505
GOAU4,-0.38836870604880386
SEER3,-0.3686422151552496
MMXM3,-0.36855331458859014
RENT3,-0.36621866512087425
NEOE3,-0.3629531248363787
HETA4,-0.36125609039370915
AZZA3,-0.34948754841592183
FIQE3,-0.33931376254694723
MWET4,-0.3324067353420095
YDUQ3,-0.32782967599943896
RLOG3,-0.32112472354212857
AALR3,-0.32109074113870095
TRIS3,-0.31996681593488074
CAMB3,-0.3166024220664455
SANB11,-0.31616036770614964
MRVE3,-0.31588097365162293
VBBR3,-0.3140157637040205
BRML3,-0.3070941603466948
B3SA3,-0.30366540255650526
SNSY5,-0.30341147551162007
OMGE3,-0.29449965343587137
AEDU3,-0.2934719110175608
SAPR11,-0.28563020507301035
BOBR4,-0.27327289107730285
TPIS3,-0.2693282361976404
POMO4,-0.2669886632663606
PRNR3,-0.26652415373392707
VULC3,-0.2590849300415267
ECOR3,-0.25864412886075616
HBSA3,-0.25789254563355224
MELK3,-0.25759497453667307
NUTR3,-0.25328722343614646
QUAL3,-0.24976463378130234
LREN3,-0.2491601583985592
CTAX3,-0.24797274832883803
RDNI3,-0.24532710267665042
FRAS3,-0.2424171293077057
HOOT4,-0.24170421236575856
CSNA3,-0.23831815632203834
KEPL3,-0.23121332438232609
ALOS3,-0.22980943152273173
CTSA4,-0.2292433328804833
GSHP3,-0.2264820134966007
ITUB4,-0.21965360387934246
BGIP4,-0.21527215010516135
BISA3,-0.2144291522236511
PFRM3,-0.20922822449914324
RDOR3,-0.20471311428163244
HYPE3,-0.19663634793038876
UCAS3,-0.19554663115763204
ITSA4,-0.1901381650453931
RPMG3,-0.18754923738383214
CXSE3,-0.18492204144170984
IGTA3,-0.18273396702937653
BMGB4,-0.18185023497353078
CSMG3,-0.18150949921520662
EUCA4,-0.1795326534849684
ENEV3,-0.17601260814058362
SLED4,-0.17523092017746872
TASA4,-0.17427276439477055
TELB4,-0.16136699546731628
ASAI3,-0.1547040454559721
PARD3,-0.15323681234831077
PCAR4,-0.14373230170635123
MNPR3,-0.14032445324817508
MDIA3,-0.13546348629540256
FHER3,-0.13281467925928334
HBRE3,-0.12703600854867247
BRAP4,-0.12249252717868195
MTIG4,-0.1194981042255834
SHUL4,-0.11758399302560771
BMIN4,-0.11494792782704036
GGBR4,-0.1142117757264927
SCAR3,-0.10630186967204695
TTEN3,-0.09879200527491507
SBSP3,-0.09462989432831669
PINE4,-0.09292826928281363
NORD3,-0.09122272409163179
RAIZ4,-0.08837736240157947
ALSC3,-0.07718293604247074
AMIL3,-0.07641275569760021
BICB4,-0.07559246309757425
UNIP6,-0.0736107118054215
AUTM3,-0.07050039393536807
ROMI3,-0.06887850509234458
CPLE6,-0.04894309141292163
MOTV3,-0.048244963865359626
INEP4,-0.044001959550799975
CSUD3,-0.04297063819163029
CIEL3,-0.03846262055891811
HGTX3,-0.03243519507484866
BEES3,-0.026617208818730118
OFSA3,-0.023787741227036967
PTNT4,-0.01814909915467332
LCAM3,-0.014051397471988969
AMER3,-0.013897354271576833
RNEW11,-0.012493405399341552
EPAR4,-0.012049981202944524
PGMN3,-0.0075995486882973725
CESP6,-0.0013098046164884327
BBSE3,-0.00024384936691377066
CSAN3,0.00236401662771472
ZAMP3,0.007791951762411251
IGBR3,0.014052331721436015
ESTR4,0.01909516500121339
SQIA3,0.0263810966939685
ENGI11,0.029986543189918564
TIET11,0.03188319284278296
NATU3,0.03412332738592831
SYNE3,0.04114557756366921
LAME4,0.045738154736424515
EALT4,0.047617616133157716
ELPL4,0.04875467305615194
CRFB3,0.05071302579061096
VLID3,0.0655700442155235
ALPA4,0.08203671464101946
FIEI3,0.0821053943916149
EGIE3,0.08329877773601957
VIVT4,0.08962857742753996
MULT3,0.09211090572676715
CRPG5,0.09227414679403047
CSRN3,0.09601165369154582
ENAT3,0.0986644465221891
RAIL3,0.09937505236384428
MYPK3,0.10378708080356347
UGPA3,0.11252968421747839
SMTO3,0.1149885792612598
TEMP3,0.12295838793576243
MTSA4,0.1267403688894812
PNVL3,0.1295961133501248
EQPA3,0.14234228228898815
MPLU3,0.14560116588221644
TIMS3,0.14754502308868703
EQTL3,0.15096375554678432
GRND3,0.15785033802455542
IGTI11,0.15811193738270654
RPAD5,0.16068705986659845
PSSA3,0.17737320191597447
HAGA4,0.18094374300780125
CGRA4,0.184397938538465
CPFE3,0.19242223337097042
LINX3,0.2003836895113515
GNDI3,0.20682138184495208
PRBC4,0.20985943646741922
TOTS3,0.21204899271549982
ALUP11,0.2254282345746694
VALE3,0.23271944841161096
BIOM3,0.23754939905225342
RECV3,0.24280919055541988
CLSC4,0.2657252769330722
BNBR3,0.2689992691152576
COCE5,0.2716801694378849
VVEO3,0.2913614211762333
BRFS3,0.3016819080677282
EMAE4,0.3042829265553137
FLRY3,0.3149365049409085
LIPR3,0.32309663496333574
ABEV3,0.3237794951932424
CEEB3,0.3289965141059705
BAZA3,0.3328464951113409
BRPR3,0.3336999362426899
CGAS5,0.3345408065075477
WEGE3,0.3347677707690728
GEPA4,0.3401303609555686
BMTO4,0.3414341624867059
TAEE11,0.3458183234273248
FESA4,0.35367179265811
BRKM5,0.35544370133543096
GETI4,0.358822257320741
DOHL4,0.3616565415455459
WLMM4,0.3635739762643023
INTB3,0.36642093029498296
ENBR3,0.3743697109032335
ISAE4,0.38421400044740167
BSLI3,0.3909157776332015
EMBJ3,0.39328283799838626
WHRL4,0.4380559022381174
RADL3,0.4407378812005106
ODPV3,0.4426876771963292
BMEB4,0.4502083934502081
BEEF3,0.4548618390488331
BMKS3,0.49634621373498355
ARTR3,0.4979697557620829
PORT3,0.5273457455866286
CPRE3,0.5293643125374604
ENMT4,0.587582874380689
JALL3,0.5926126886794978
LUXM4,0.5990749089775372
CAML3,0.8398525239391863
DAYC4,0.8466242461586913
AMBV4,0.8565469618268657
TRPN3,0.9103206026523994
CRIV4,0.9183007977077268
KLBN11,0.9635763634982201
LEVE3,0.974164058386607
BRIV4,0.9885827347295555
AURE3,1.0062687429223778
AGRO3,1.0173271490580809
TUPY3,1.0219611126622885
MOAR3,1.0288710544617545
SUZB3,1.054931333248577
EKTR4,1.0658156107076118
CRUZ3,1.0735909023645438
BIED3,1.088129285584649
SLCE3,1.089580426149583
MBRF3,1.0958434265811041
BHGR3,1.0978329796431614
PRVI3,1.1299213952087863
CREM3,1.1366349098333974
MAGG3,1.1446514635930773
REDE3,1.148271742359943
NETC4,1.1538949785135608
PDTC3,1.169050259458242
CEBR6,1.1738227155821135
FTRX4,1.1792535500363177
BAUH4,1.1903071776316483
FICT3,1.2042061197981562
OSXB3,1.2197554324295805
BEMA3,1.2715851789547716
WEST3,1.2808825140804974
LWSA3,1.319439104321275
RHDS3,1.3425861821709588
SOJA3,1.3831447749976877
FIBR3,1.4077477367443234
BLAU3,1.4475564988772358
AFLT3,1.4941186411972185
DASA3,1.500213745919494
CCXC3,1.548105217172459
PEAB4,1.5482075226725955
RDTR3,1.5738930875012727
SEDU3,1.577547621716171
SULT4,1.5909873108334662
EBTP4,1.6029010680921139
CBEE3,1.6077329454267957
SFSA4,1.6307278187938434
DOTZ3,1.6398440658286562
SPRI3,1.6920257715046216
LAND3,1.7181263101889648
NGRD3,1.7486528166087527
DEXP3,1.7548317710913999
HAPV3,1.759259901984124
ADHM3,1.7785117184644752
RSUL4,1.8911614343629821
ARND3,1.9038847068207299
AELP3,1.9128849335108122
VITT3,1.9345655596912867
ELEK4,1.9596799743722622
RSIP3,2.0881102459408947
CURY3,2.0942215377356415
AMBP3,2.101947880826672
OGXP3,2.224822257329285
CCHI3,2.2622328542324017
PRML3,2.282359725644735
AERI3,2.3002830212193905
FRIO3,2.303298177140599
VAMO3,2.3305892177210272
ARML3,2.3595673889669566
AGXY3,2.432683656856529
CLSA3,2.4545239518724817
HBTS5,2.478645447003589
ELMD3,2.494407353076527
CBAV3,2.5396352061275884
WDCN3,2.5624282212604674
PLPL3,2.789303053185286
KRSA3,3.9062682692370347
