ticker,delta_selic_lag,delta_ipca_lag,var_dolar_lag,ibc_var_lag,cluster
AALR3,1.653674231259203,-0.1634295455936612,-0.32109074113870095,0.3341392792683559,1
ABCB4,0.5584829949649753,0.11429166781323435,-0.3965537930491707,0.2084056267943878,0
ABEV3,0.15127498790828675,0.14850573278123452,0.3237794951932424,0.30758494069071085,0
ADHM3,1.406346459550634,-1.814902333558885,1.7785117184644752,0.015036712794326317,3
AEDU3,-1.66116247350132,1.4112625162876433,-0.2934719110175608,-1.7631263220822317,5
AELP3,2.021544276370314,-1.081457374919808,1.9128849335108122,-0.3086875206469602,3
AERI3,1.4007585942021354,-1.2106848721365466,2.3002830212193905,-1.0396834837843008,3
AFLT3,0.10265015052240427,1.0306182540963498,1.4941186411972185,0.5533336711525761,6
AGRO3,-0.11511715044706725,-0.2513355627285897,1.0173271490580809,0.6087480268080494,6
AGXY3,3.0922374999801803,-1.2384353916647575,2.432683656856529,-0.8770813335314795,3
ALLD3,-0.5494491946819502,-0.5426242712258116,-0.6745289046321388,1.28400373377071,2
ALOS3,0.19059168176865143,0.3396620121997424,-0.22980943152273173,0.247571423397539,0
ALPA4,-0.4234510173687478,-0.6908847116835766,0.08203671464101946,-0.12127945295254192,2
ALPK3,-1.509298754923542,0.5068930956762163,-1.7734965317969749,1.973560033655321,2
ALSC3,0.1301914851781513,-0.01891986166291721,-0.07718293604247074,0.39141177887357653,0
ALUP11,0.7459607583101634,-0.4256607630237717,0.2254282345746694,0.2942085234973678,1
AMAR3,-0.998379694890581,0.8909830576155645,-1.0724594190699066,0.28850936139259475,5
AMBP3,-6.127562462064116,-6.674738021919291,2.101947880826672,4.337701884636563,4
AMBV4,0.009667755326528998,-0.6268921275315567,0.8565469618268657,1.3683197328349619,6
AMER3,-1.3214274751804138,-1.8800815255581433,-0.013897354271576833,0.5292752659530806,2
AMIL3,-0.6842466420529022,0.7435686781219929,-0.07641275569760021,-1.1685349519744404,5
ANIM3,-0.3947190971141046,-0.9803957562195083,-0.9139962841120852,0.43842311625887603,2
APER3,-0.39323357956650906,0.21870207937824512,-0.648782283181543,-0.49262590273097867,0
ARML3,1.0542276630700622,-0.444338920067306,2.3595673889669566,-2.4250231992140843,3
ARND3,-1.5286896263886331,-1.7891484244730969,1.9038847068207299,1.9360509206721608,6
ARTR3,0.6246626777474373,0.6142143169150964,0.4979697557620829,-0.864750014070517,1
ASAI3,1.1817021779838446,0.622023151432275,-0.1547040454559721,1.6119993020181862,0
AURE3,1.122685299788636,-0.40793290600054577,1.0062687429223778,-0.14193920531241944,1
AUTM3,-0.4282976192830588,0.47667930696404065,-0.07050039393536807,-0.4210971585856845,0
AVLL3,-3.3099064026240486,-2.6221071935185782,-2.1026807198109587,-2.6281355262900155,2
AXIA3,0.9363351508590047,-0.6146595804559017,-0.6177910258027449,-0.22273801170015126,1
AZEV4,-1.2856399973981711,0.8450639918268869,-1.6918935006262,-0.8180823497610206,5
AZUL4,-1.3442604614691793,-0.5591243879111857,-2.100707665053877,-0.49402151659809085,2
AZZA3,-0.20424367066755106,-0.3885748734549422,-0.34948754841592183,-0.2245028997554626,2
B3SA3,0.6727987528078919,-0.6174905889966146,-0.30366540255650526,-0.08496037905997011,1
BALM4,-1.0358557272169662,-0.26149722122073066,-0.45365835881961813,0.2856231035214536,2
BAUH4,-0.2834809374332368,0.583512352288132,1.1903071776316483,0.4343392352882088,6
BAZA3,0.8281963764854902,0.3548476538770769,0.3328464951113409,-0.1288711425245301,1
BBAS3,0.5087573679943933,-0.4268839256085877,-0.8592128323233188,-0.07559036082845083,1
BBDC4,0.6000971606250973,0.4705939164698796,-0.39111940413474505,-0.3003449695430836,1
BBSE3,0.5529481188080773,-0.27917079619326096,-0.00024384936691377066,0.30568191580221604,1
BDLL4,0.7709045836277839,0.8235828844773128,-0.6361897100778527,0.4389612005574016,0
BEEF3,0.8694342509404956,-0.5558756222679667,0.4548618390488331,-0.38276129806558334,1
BEES3,0.6816807296250589,-0.1207180740484907,-0.026617208818730118,-0.11195537147037746,1
BEMA3,-1.2117241695920673,0.45405696052619504,1.2715851789547716,0.7810451315861593,6
BGIP4,0.06559231286193123,-0.06261844931439924,-0.21527215010516135,0.5015988097832449,0
BHGR3,-0.4602621569043233,0.7580493703109624,1.0978329796431614,-0.7977383806111984,3
BHIA3,-1.1449877227978942,2.3720353284099964,-1.5471765234804407,-0.8381467581426316,5
BICB4,2.115537779185558,-1.0947789904918355,-0.07559246309757425,-1.0719972966563878,1
BIED3,1.2046244436674656,-0.47654518407823776,1.088129285584649,-0.8569786543259801,3
BIOM3,-1.0018208673406237,0.8352370473209071,0.23754939905225342,0.24606157492819927,0
BISA3,1.4997947091672283,-0.5613672263395356,-0.2144291522236511,-1.3418635863303334,1
BLAU3,1.6432426062549965,0.5244346643616918,1.4475564988772358,-0.8247380561910712,3
BLUT4,1.356253909115448,1.5703869251322902,-0.5720769375004098,0.8563738787108264,0
BMEB4,-0.2851947481437833,0.21470954701160458,0.4502083934502081,0.46163313612210777,0
BMGB4,-0.28778732022187986,0.4022101755442476,-0.18185023497353078,-0.23063185044839457,0
BMIN4,1.2150543371255023,-0.3470486733921738,-0.11494792782704036,-0.2518604405461915,1
BMKS3,0.9262520812823252,0.2564883599690017,0.49634621373498355,0.4455790749129318,0
BMOB3,1.0719816227080046,0.9254311607041709,-0.6109382250368512,0.5333057036239285,0
BMTO4,-0.15959985728449053,0.7499313085143038,0.3414341624867059,0.18206681184456114,0
BNBR3,-0.7919806790183399,-0.15384642214244562,0.2689992691152576,0.3717178010881976,0
BOBR4,-0.7736847321535347,-0.28777610973970247,-0.27327289107730285,-0.44067464795188493,2
