ticker,ibc_var_lag
TOYB4,4.881555478561057
TRAD3,4.848100355895868
AMBP3,4.337701884636563
CCHI3,2.921751358097509
PRML3,2.819240803244562
DOTZ3,2.7959707842392305
CLSA3,2.7884696607593593
BRIT3,2.5544298941988735
IFCM3,2.244241750778389
ALPK3,1.973560033655321
ARND3,1.9360509206721608
DASA3,1.8104944901501738
KRSA3,1.7785703706504181
PGMN3,1.7470023054387707
SNSY5,1.6433682782547787
SMLE3,1.6386968341243107
RDOR3,1.6179321040930057
ASAI3,1.6119993020181862
ELPL4,1.6015943898224883
HBRE3,1.5351479631905527
CBAV3,1.5192291704252439
SEDU3,1.5148652584596687
SMFT3,1.512095061321429
GMAT3,1.495712439085861
RDTR3,1.4410139783576572
NGRD3,1.4298937910976266
ELMD3,1.413080862532772
PLPL3,1.3762631657265076
AMBV4,1.3683197328349619
PORT3,1.3513001509786382
PETZ3,1.3193704925951808
VSTE3,1.307197974217295
ALLD3,1.28400373377071
MATD3,1.2789559461962225
OPCT3,1.2561035323474938
SOMA3,1.2259935542194063
LJQQ3,1.2164101841505817
FTRX4,1.1769557950090792
PCAR4,1.1113781097196613
HBSA3,1.0956708892250353
VITT3,0.9721411193416918
CREM3,0.9648176643016354
CSED3,0.9085947408193926
JFEN3,0.8859573238830432
CEBR6,0.864000828857166
BLUT4,0.8563738787108264
TTEN3,0.8381464201634213
WIZC3,0.8293665021376078
FIQE3,0.8244537869018852
PRIO3,0.8222151794098115
INEP4,0.8128754279131274
FRTA3,0.7930213874704956
BEMA3,0.7810451315861593
CPRE3,0.7521651312062844
LAVV3,0.7498856123647075
PLAS3,0.7384669242446065
GSHP3,0.7241061030219581
DEXP3,0.6968934185260433
CTAX3,0.6847230769559526
CSAN3,0.6609919733385771
CURY3,0.658149037305509
LIGT3,0.6410484549775728
STBP3,0.639646398787099
RNEW11,0.6333312203276079
TUPY3,0.6268926928866335
LUPA3,0.6263139968300487
TERI3,0.6258630926565605
CEAB3,0.6251866314766262
GETI4,0.6245639264939775
RDNI3,0.6233003437331335
CSRN3,0.6149265013772524
LINX3,0.6110820500709983
HETA4,0.610470973109732
AGRO3,0.6087480268080494
MWET4,0.5988769382169645
TRPN3,0.5974923023537685
TPIS3,0.5965617802780498
EALT4,0.5922443888170612
EVEN3,0.5810143281668729
BPAN4,0.572272588880858
ENJU3,0.5546640965499255
AFLT3,0.5533336711525761
CSMG3,0.5444527106144282
EMBJ3,0.536613847553206
BMOB3,0.5333057036239285
VULC3,0.5311768939362541
AMER3,0.5292752659530806
DIRR3,0.5221054456582706
PRNR3,0.5147490983268598
FESA4,0.5106713921145942
BRIV4,0.5084338278185909
BGIP4,0.5015988097832449
ENEV3,0.4994174555076903
ECOR3,0.49034625555492056
EKTR4,0.486370769636286
YDUQ3,0.48098043071323204
COGN3,0.4729183793390946
BMEB4,0.46163313612210777
SBSP3,0.45909682036523947
GGPS3,0.4568202373581991
WLMM4,0.4496308633518985
FIEI3,0.4468877664598596
BMKS3,0.4455790749129318
BDLL4,0.4389612005574016
ANIM3,0.43842311625887603
IRBR3,0.43632076637808287
BAUH4,0.4343392352882088
VIVR3,0.4328559132534821
BRPR3,0.42069541422563467
HBOR3,0.42038105551075106
IGTI11,0.4197625330839776
LCAM3,0.41805887727850854
CYRE3,0.41583794299453486
WEST3,0.4118607829138421
CLSC4,0.3964115891072633
ALSC3,0.39141177887357653
SQIA3,0.39087454284211487
MTSA4,0.3897101719421052
CMIG4,0.37951199066565205
RANI3,0.3776564802381341
