variavel,lag,correlacao,subsetor
delta_selic,6,-0.06974401394965617,Computadores e Equipamentos
delta_ipca,0,0.034164178888435724,Computadores e Equipamentos
delta_ipca,1,-0.01876838913928357,Computadores e Equipamentos
delta_ipca,2,-0.003431921490099827,Computadores e Equipamentos
delta_ipca,3,-0.19615331857748572,Computadores e Equipamentos
delta_ipca,4,-0.010660642611294152,Computadores e Equipamentos
delta_ipca,5,-0.015528795553904151,Computadores e Equipamentos
delta_ipca,6,0.12132382852467738,Computadores e Equipamentos
var_dolar,0,-0.32735495525048375,Computadores e Equipamentos
var_dolar,1,0.02854795360464846,Computadores e Equipamentos
var_dolar,2,0.05630301742017375,Computadores e Equipamentos
var_dolar,3,0.09206055690328135,Computadores e Equipamentos
var_dolar,4,-0.07467846604616377,Computadores e Equipamentos
var_dolar,5,-0.16105362170672013,Computadores e Equipamentos
var_dolar,6,-0.1647545573490057,Computadores e Equipamentos
ibc_var,0,0.025761594597951104,Computadores e Equipamentos
ibc_var,1,0.0069978689802535745,Computadores e Equipamentos
ibc_var,2,-0.09602951906711432,Computadores e Equipamentos
ibc_var,3,-0.023723192734870793,Computadores e Equipamentos
ibc_var,4,0.0024218697418469243,Computadores e Equipamentos
ibc_var,5,0.00010033167576775221,Computadores e Equipamentos
ibc_var,6,0.07085820009067094,Computadores e Equipamentos
delta_selic,0,-0.17175010374107147,Comércio Varejista
delta_selic,1,-0.14650891841292202,Comércio Varejista
delta_selic,2,-0.12576258883739277,Comércio Varejista
delta_selic,3,-0.1306713274139178,Comércio Varejista
delta_selic,4,-0.16833505118809003,Comércio Varejista
delta_selic,5,-0.12779528390082046,Comércio Varejista
delta_selic,6,-0.1579933402574806,Comércio Varejista
delta_ipca,0,-0.09660676170335548,Comércio Varejista
delta_ipca,1,0.01771728317404851,Comércio Varejista
delta_ipca,2,0.020017852164071263,Comércio Varejista
delta_ipca,3,-0.1614150304434417,Comércio Varejista
delta_ipca,4,0.005398143217591843,Comércio Varejista
delta_ipca,5,0.03366578972198181,Comércio Varejista
delta_ipca,6,0.15521474835498003,Comércio Varejista
var_dolar,0,-0.4886296439099385,Comércio Varejista
var_dolar,1,-0.04705647205600772,Comércio Varejista
var_dolar,2,0.09465000332205792,Comércio Varejista
var_dolar,3,0.14357166421348957,Comércio Varejista
var_dolar,4,0.0546900366595168,Comércio Varejista
var_dolar,5,0.046212881702136985,Comércio Varejista
var_dolar,6,-0.18117468887853574,Comércio Varejista
ibc_var,0,0.147883092849583,Comércio Varejista
ibc_var,1,-0.03451143880808465,Comércio Varejista
ibc_var,2,-0.08491119748551643,Comércio Varejista
ibc_var,3,-0.011645488988205494,Comércio Varejista
ibc_var,4,0.026401365373258,Comércio Varejista
ibc_var,5,-0.006520906143401044,Comércio Varejista
ibc_var,6,0.03707646077273789,Comércio Varejista
delta_selic,0,-0.14537617900868136,Comércio e Distribuição
delta_selic,1,-0.12331474649422298,Comércio e Distribuição
delta_selic,2,-0.07129789448840196,Comércio e Distribuição
delta_selic,3,-0.07226211832104415,Comércio e Distribuição
delta_selic,4,-0.0782934623539501,Comércio e Distribuição
delta_selic,5,0.008886354489422784,Comércio e Distribuição
delta_selic,6,-0.08364447728299891,Comércio e Distribuição
delta_ipca,0,-0.03529354571173023,Comércio e Distribuição
delta_ipca,1,-0.0773939699012185,Comércio e Distribuição
delta_ipca,2,-0.0014080055299927692,Comércio e Distribuição
delta_ipca,3,-0.0791104700511609,Comércio e Distribuição
delta_ipca,4,-0.011514825527857746,Comércio e Distribuição
delta_ipca,5,0.043468095482459924,Comércio e Distribuição
delta_ipca,6,-0.0028702305168471992,Comércio e Distribuição
var_dolar,0,-0.4219867827240891,Comércio e Distribuição
var_dolar,1,-0.02843650282595304,Comércio e Distribuição
var_dolar,2,0.10648437633847696,Comércio e Distribuição
var_dolar,3,0.003500670780502291,Comércio e Distribuição
var_dolar,4,0.06990273468459142,Comércio e Distribuição
var_dolar,5,-0.068089205148397,Comércio e Distribuição
var_dolar,6,-0.09802636431912888,Comércio e Distribuição
ibc_var,0,0.07334465663183018,Comércio e Distribuição
ibc_var,1,0.0009509540463449439,Comércio e Distribuição
ibc_var,2,-0.13582726912621562,Comércio e Distribuição
ibc_var,3,-0.05622554822429977,Comércio e Distribuição
ibc_var,4,0.04043121693546549,Comércio e Distribuição
ibc_var,5,0.07535598309745124,Comércio e Distribuição
ibc_var,6,0.008045935730775758,Comércio e Distribuição
delta_selic,0,-0.12147652835555775,Construção Civil
delta_selic,1,-0.07526817687854773,Construção Civil
delta_selic,2,-0.03980971365517516,Construção Civil
