ticker,delta_selic_lag
SMLE3,3.7594103395679364
RJCP3,3.4099897444931706
AGXY3,3.0922374999801803
PMET6,3.0090406498004496
ELPL4,2.5649997571595478
VVEO3,2.289199545182059
EBTP4,2.1968593562750556
IGBR3,2.1911547078257443
BICB4,2.115537779185558
AELP3,2.021544276370314
VSTE3,1.9999195473199103
EPAR4,1.9149905369529274
VITT3,1.8349636806795826
SRNA3,1.7222632222683778
AALR3,1.653674231259203
BLAU3,1.6432426062549965
SULT4,1.6222142247068767
CSRN3,1.5963831259422991
BISA3,1.4997947091672283
BSEV3,1.4415410104679798
ZAMP3,1.4402659863345024
TESA3,1.4321150244162864
RSIP3,1.4099781668498557
ADHM3,1.406346459550634
NETC4,1.4014481195860782
AERI3,1.4007585942021354
SOMA3,1.3836695406743948
BLUT4,1.356253909115448
TEMP3,1.350931310125704
IMBI4,1.3084264487391404
PCAR4,1.2960818482343694
PARD3,1.2280461185960558
BMIN4,1.2150543371255023
BIED3,1.2046244436674656
CCXC3,1.1932882099782516
ASAI3,1.1817021779838446
JFEN3,1.156566479567613
MPLU3,1.1236157458418696
AURE3,1.122685299788636
RSUL4,1.0980836475425624
BMOB3,1.0719816227080046
MELK3,1.058898910663887
TECN3,1.0555241166070373
ARML3,1.0542276630700622
OSXB3,1.0526156766312116
VULC3,1.0359320610901406
TIET11,1.008604680923359
HGTX3,0.9987852476625468
COGN3,0.981653946388265
LAME4,0.9576105217144751
MNPR3,0.9473534202821476
AXIA3,0.9363351508590047
CPLE6,0.9267218536734871
BMKS3,0.9262520812823252
TRPN3,0.9253335977460981
BRAV3,0.9081549335047063
VAMO3,0.9065171347185216
VLID3,0.9028002210517282
GNDI3,0.8903116809267075
VIVT4,0.8731274696280641
BEEF3,0.8694342509404956
INTB3,0.861658074666104
BRIV4,0.8515482520197776
HETA4,0.8466946053279311
MOTV3,0.8321457957269829
BAZA3,0.8281963764854902
TCNO4,0.8247333112925656
RPAD5,0.8203627111763249
CEEB3,0.8130202532138816
ENBR3,0.7898640810259411
CIEL3,0.7801049486000824
MRVE3,0.7752764820773239
FLRY3,0.773049910273711
BDLL4,0.7709045836277839
UGPA3,0.7664954455719731
ALUP11,0.7459607583101634
OFSA3,0.7424435385096326
PORT3,0.7248310517718178
TTEN3,0.7216032667427684
TIMS3,0.7205693714184682
LAVV3,0.7101980433616478
PLAS3,0.7081975439473377
MGEL4,0.7033075621692788
ODPV3,0.6988741409790669
SAPR11,0.692502633201728
ENGI11,0.6878298244392619
BEES3,0.6816807296250589
HYPE3,0.6767803648591306
CURY3,0.6755898833420239
B3SA3,0.6727987528078919
CGAS5,0.6715110756095555
CPFE3,0.6692569843965929
PINE4,0.6650971396462697
RDTR3,0.6629224068811318
ISAE4,0.6543903282110551
RANI3,0.6483819031686764
IGTI11,0.6348215297738441
MDIA3,0.6317424616532078
MATD3,0.6272637317990263
ARTR3,0.6246626777474373
CGRA4,0.603705186468278
BBDC4,0.6000971606250973
BRML3,0.5953170772567649
LAND3,0.591093530860631
ORVR3,0.5883463865353183
SEQL3,0.5874387728686681
FIEI3,0.5851503454317508
WIZC3,0.5716629304608947
MULT3,0.5715940891871856
ITUB4,0.5586998405186093
ABCB4,0.5584829949649753
LOGN3,0.5544904007232235
BBSE3,0.5529481188080773
HBOR3,0.547469165717737
