subsetor,delta_selic_lag,delta_ipca_lag,var_dolar_lag,ibc_var_lag,cluster
Agropecuária,1.0238303214511169,-0.3442288662528593,1.1296447754596382,0.6451612121685137,4
Alimentos Processados,0.9328385533452749,0.9988753990690106,0.7322666192273657,-0.5871580418448215,4
Automóveis e Motocicletas,0.18743288413023873,-0.4969931209987905,-0.6661032853206177,0.24339945847592784,0
Bebidas,2.867666771434453,-0.24244276319068275,0.8302170066697537,-1.0707160025220823,2
Computadores e Equipamentos,-0.5878728498090621,-1.6436630953774476,-1.0278097740857017,-1.345215970776228,3
Comércio Varejista,-0.9585751155951556,-0.5274667598375408,-1.2588193710595426,0.05103757864282215,0
Comércio e Distribuição,0.38085390633463584,0.1415712228184322,-0.06352388401419236,-0.8613623087415089,0
Construção Civil,-0.7882189693024247,1.41172997952677,-1.359319563156407,0.6938881691642087,1
Construção e Engenharia,0.45983149911057436,-0.8230756647271947,-0.6872639172257544,0.6869942616128846,0
Diversos,-0.12938385794730337,-0.020786134538231676,-0.8199093604314077,0.3186172850979614,0
Embalagens,0.7663207717076191,-0.7173171314850514,-0.419886866420715,0.5982793106124398,0
Energia Elétrica,1.5481060671582592,0.6752971432326574,0.554957890854211,0.1133036427551436,4
Equipamentos,0.6360955417748381,1.8433814221301674,0.6134832563767348,1.4357246313423995,4
Exploração de Imóveis,0.12149074398769343,1.365846472105718,-0.27878701579051457,0.40493384818015354,1
Gás,1.6933559681268846,1.5115785477082164,1.3198642572429624,1.0320345180403396,4
Holdings Diversificadas,0.4594203934182337,-0.3505326264596797,0.21312294274179977,0.2448921769367377,0
Hoteis e Restaurantes,-0.31649279162239463,1.3162957958556059,-0.8353268178172006,0.17404156736162074,1
Intermediários Financeiros,0.7083073326097945,0.07124406424873171,-0.12073409257211025,0.38084264521399047,0
Madeira e Papel,-0.4762716700936188,-0.30503848370611614,1.1167325578035745,0.20861502099840165,0
Materiais Diversos,-2.185506158272511,-1.3222692743519129,-1.4224026298671562,-3.319434118996722,3
Material de Transporte,0.05454956356381747,-0.7349134300728558,0.3675100119631301,0.8207341524715498,0
Medicamentos e Outros Produtos,-0.13038562618411248,1.004736661835729,3.184740408927216,0.7954694524066265,4
Mineração,-0.07413261286122307,0.9995031630141819,0.3314383240845476,1.4530151024971023,1
Máquinas e Equipamentos,-0.46236073409383355,-0.04952274226501468,0.09607580739885246,0.6603177404457837,0
Outros,0.11320365352461025,-2.7108044588943634,3.01886516799299,-2.7538572149328258,2
"Petróleo, Gás e Biocombustíveis",-0.13918924391086077,0.98130024695167,-1.1142349704771122,0.4916952782986173,1
Previdência e Seguros,0.7591601496313589,0.6994114135980147,0.27470693144280284,0.5240525426934679,4
Produtos de Cuidado Pessoal e de Limpeza,-2.3775480207145003,-0.605590377556926,-0.92528213542758,-0.6809514603858904,3
Programas e Serviços,-1.0168166519860424,-0.900144025067996,0.3593804458968619,0.00901709421355484,0
Químicos,-0.693814584174047,-0.5721704404766125,0.19922252200375806,-0.953535477389742,0
"Serv.Méd.Hospit.,Análises e Diagnósticos",0.3475587934112766,-0.08434205472602803,0.2895590051052548,-0.5402192204439656,0
Serviços,-0.20996635025703872,-1.454968725076119,-0.7625576023118428,0.3003633321094238,0
Serviços Financeiros Diversos,-0.48019422943267126,-0.6747160590889268,-0.08836711443009791,0.2881819065559319,0
Siderurgia e Metalurgia,0.19761781067038434,1.0037874706845744,-0.39105911946790284,0.09947132361659226,1
"Tecidos, Vestuário e Calçados",0.592344620744541,0.9404252204786792,-0.5012283862648947,0.576785214869662,1
Telecomunicações,-2.435645688101298,-0.196907316321772,-0.005813577089022769,-1.7219638745796975,3
Transporte,-0.37839436655357916,-0.6450974838409556,-1.1365094460043785,0.5460346335971021,0
Utilidades Domésticas,-0.623094581212078,-0.42726109317300875,0.045464488828183595,0.7258845529059507,0
Viagens e Lazer,0.4156335974239098,-0.6366098110987872,-0.6891337269781609,0.46327720754530666,0
Água e Saneamento,0.19824515856424232,1.5218777153267133,-0.10317976380733117,-1.1516511702167342,1
