ano_mes,segmento,ret_segmento,n_empresas,data
2010-03,Energia Elétrica,0.026519790929842964,26,2010-03-31
2010-03,Engenharia Consultiva,-0.049418012881272066,2,2010-03-31
2010-03,Equipamentos,0.01733863274045966,1,2010-03-31
2010-03,Equipamentos e Serviços,-0.1111637930847369,1,2010-03-31
2010-03,Exploração de Imóveis,0.01243125997300242,12,2010-03-31
2010-03,Exploração de Rodovias,-0.034335539776023216,2,2010-03-31
2010-03,"Exploração, Refino e Distribuição",-0.054477000564580824,4,2010-03-31
2010-03,Fertilizantes e Defensivos,-0.08843123849964529,3,2010-03-31
2010-03,Fios e Tecidos,0.04049257162598514,15,2010-03-31
2010-03,Gás,0.00020426900041892182,2,2010-03-31
2010-03,Holdings Diversificadas,0.06097533163157155,4,2010-03-31
2010-03,Hotelaria,-0.24063670876172694,1,2010-03-31
2010-03,Incorporações,-0.0578416854772913,19,2010-03-31
2010-03,Intermediação Imobiliária,-0.034713961210079525,2,2010-03-31
2010-03,Linhas Aéreas de Passageiros,-0.08074521949623614,2,2010-03-31
2010-03,Madeira,0.007707612955424437,2,2010-03-31
2010-03,Materiais Diversos,-0.10295739913731905,1,2010-03-31
2010-03,Material Aeronáutico e de Defesa,0.0718769054533328,1,2010-03-31
2010-03,Material Rodoviário,7.176922769823457e-05,6,2010-03-31
2010-03,Medicamentos e Outros Produtos,0.05315702848724013,4,2010-03-31
2010-03,Minerais Metálicos,0.08912733055054274,3,2010-03-31
2010-03,"Motores , Compressores e Outros",0.030707546833237093,2,2010-03-31
2010-03,Máq. e Equip. Construção e Agrícolas,0.14487089413382126,1,2010-03-31
2010-03,Máq. e Equip. Industriais,-0.040811169538238316,6,2010-03-31
2010-03,Outros,-0.19152109506364012,2,2010-03-31
2010-03,Papel e Celulose,0.15479542517518974,1,2010-03-31
2010-03,Petroquímicos,-0.03897401541662059,6,2010-03-31
2010-03,Produtos Diversos,0.017182535128408172,3,2010-03-31
2010-03,Produtos de Cuidado Pessoal,0.10660558033176959,1,2010-03-31
2010-03,Produtos de Limpeza,-0.02877129727894001,1,2010-03-31
2010-03,Produtos para Construção,-0.11587373911359274,3,2010-03-31
2010-03,Produção de Eventos e Shows,0.15336495854187593,1,2010-03-31
2010-03,Programas e Serviços,0.023302667880238326,4,2010-03-31
2010-03,Químicos Diversos,-0.2689859994208975,1,2010-03-31
2010-03,Seguradoras,-0.001211001435867128,3,2010-03-31
2010-03,"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.015522342958065557,6,2010-03-31
2010-03,Serviços Diversos,-0.11255702942823165,2,2010-03-31
2010-03,Serviços Educacionais,0.0006256633797796507,3,2010-03-31
2010-03,Serviços Financeiros Diversos,0.12850136196389794,3,2010-03-31
2010-03,Serviços de Apoio e Armazenagem,-0.11279549414534418,1,2010-03-31
2010-03,Siderurgia,0.12333928791153048,5,2010-03-31
2010-03,Soc. Crédito e Financiamento,-0.01074804221846537,1,2010-03-31
2010-03,"Tecidos, Vestuário e Calçados",0.1100157919272699,4,2010-03-31
2010-03,Telecomunicações,-0.5051170938623901,1,2010-03-31
2010-03,Transporte Hidroviário,0.03784892459905248,2,2010-03-31
2010-03,Transporte Rodoviário,0.061386386343053934,1,2010-03-31
2010-03,Utensílios Domésticos,-0.03922071315328113,1,2010-03-31
2010-03,Vestuário,0.06361684439662034,3,2010-03-31
2010-03,Água e Saneamento,0.03326442079198044,2,2010-03-31
2010-04,Acessórios,-0.04879016416943194,1,2010-04-30
2010-04,Agricultura,0.02133557271018584,3,2010-04-30
2010-04,Alimentos Diversos,-0.04729329049019865,2,2010-04-30
2010-04,Aluguel de carros,0.03453843697753478,1,2010-04-30
2010-04,Armas e Munições,-0.0033609309102922147,1,2010-04-30
2010-04,Artefatos de Cobre,-0.15908151528629766,1,2010-04-30
2010-04,Artefatos de Ferro e Aço,-0.05849942713909998,7,2010-04-30
2010-04,Automóveis e Motocicletas,0.10284536188052762,2,2010-04-30
2010-04,Açucar e Alcool,-0.039504304708434246,1,2010-04-30
2010-04,Bancos,-0.05530816538750605,22,2010-04-30
2010-04,Bicicletas,0.32891772991132706,1,2010-04-30
2010-04,Brinquedos e Jogos,-0.03921879017065821,1,2010-04-30
2010-04,Calçados,-0.06483093441577888,3,2010-04-30
2010-04,Carnes e Derivados,-0.05966548172826482,5,2010-04-30
2010-04,Computadores e Equipamentos,0.028008525761913965,3,2010-04-30
2010-04,Eletrodomésticos,-0.013307621458969549,1,2010-04-30
2010-04,Embalagens,-0.35935793569818575,1,2010-04-30
2010-04,Energia Elétrica,-0.015110500762601932,27,2010-04-30
2010-04,Engenharia Consultiva,-0.1411882092326165,2,2010-04-30
2010-04,Equipamentos e Serviços,-0.08677880971736451,2,2010-04-30
2010-04,Exploração de Imóveis,-0.03393439465292624,12,2010-04-30
2010-04,Exploração de Rodovias,-0.030202375117522884,2,2010-04-30
2010-04,"Exploração, Refino e Distribuição",0.0055766158473081195,4,2010-04-30
2010-04,Fertilizantes e Defensivos,-0.007906113565459005,3,2010-04-30
2010-04,Fios e Tecidos,-0.1125345029025636,14,2010-04-30
2010-04,Gás,0.006877790931057559,2,2010-04-30
2010-04,Holdings Diversificadas,-0.07375990238638899,4,2010-04-30
2010-04,Hotelaria,0.0,1,2010-04-30
2010-04,Incorporações,0.0014179401082774592,19,2010-04-30
2010-04,Intermediação Imobiliária,-0.028887722288526207,2,2010-04-30
2010-04,Linhas Aéreas de Passageiros,0.024143179833943762,2,2010-04-30
2010-04,Madeira,4.828514703292264e-05,2,2010-04-30
2010-04,Materiais Diversos,-0.036817587935496277,1,2010-04-30
2010-04,Material Aeronáutico e de Defesa,-0.02408817650977646,1,2010-04-30
