variavel,coef,pvalor,subsetor,r2
const,0.0025111190213625944,0.6109430565410519,Agropecuária,0.039160704065846375
delta_selic,-0.003793143397939823,0.7741527404723021,Agropecuária,0.039160704065846375
delta_ipca,0.003059432867613817,0.829620518005012,Agropecuária,0.039160704065846375
var_dolar,-0.32867653124849494,0.0256825615279854,Agropecuária,0.039160704065846375
ibc_var,0.3674789177825843,0.36129530033616586,Agropecuária,0.039160704065846375
const,0.007048619772231752,0.10909042690503903,Alimentos Processados,0.13108608386614617
delta_selic,-0.02650173978439517,0.024989414005006507,Alimentos Processados,0.13108608386614617
delta_ipca,-0.029721882595376604,0.01949663369866458,Alimentos Processados,0.13108608386614617
var_dolar,-0.5912014599198807,9.522315264113507e-06,Alimentos Processados,0.13108608386614617
ibc_var,-0.0905995180073293,0.7998091583432172,Alimentos Processados,0.13108608386614617
const,0.005060416395183851,0.4262584885810635,Automóveis e Motocicletas,0.19146922279525935
delta_selic,-0.020564677004023958,0.22793573750007082,Automóveis e Motocicletas,0.19146922279525935
delta_ipca,-0.03345874921451808,0.06887452997737495,Automóveis e Motocicletas,0.19146922279525935
var_dolar,-1.2093208101020916,1.0743096365032915e-09,Automóveis e Motocicletas,0.19146922279525935
ibc_var,-0.19226418766797992,0.7104864899121086,Automóveis e Motocicletas,0.19146922279525935
const,0.0035506977604310985,0.4933354774346983,Bebidas,0.09254031882396552
delta_selic,0.005800845828180008,0.6633168551086026,Bebidas,0.09254031882396552
delta_ipca,-0.0018387093462984595,0.8925143480103618,Bebidas,0.09254031882396552
var_dolar,-0.4151785698128905,0.006223436311623761,Bebidas,0.09254031882396552
ibc_var,0.63525540093482,0.0998180171701358,Bebidas,0.09254031882396552
const,0.00939459421478469,0.32653090173873855,Computadores e Equipamentos,0.12015961163726119
delta_selic,-0.03757445126087938,0.14357171558845971,Computadores e Equipamentos,0.12015961163726119
delta_ipca,-0.0006479606824250032,0.9812373795707597,Computadores e Equipamentos,0.12015961163726119
var_dolar,-1.389573280494865,2.0197269913863814e-06,Computadores e Equipamentos,0.12015961163726119
ibc_var,-0.6296365299961683,0.41950192760138816,Computadores e Equipamentos,0.12015961163726119
const,0.006396133817927468,0.2901836432719026,Comércio Varejista,0.313789498299338
delta_selic,-0.05835281030064961,0.0003897905880345408,Comércio Varejista,0.313789498299338
delta_ipca,-0.04696700136805246,0.007498266166434901,Comércio Varejista,0.313789498299338
var_dolar,-1.469632551180493,3.4381805208522775e-14,Comércio Varejista,0.313789498299338
ibc_var,0.3459317249014817,0.48229526007810974,Comércio Varejista,0.313789498299338
const,0.0022934697752967485,0.615883513847661,Comércio e Distribuição,0.22101541039143235
delta_selic,-0.03540221757118328,0.004233388228388883,Comércio e Distribuição,0.22101541039143235
delta_ipca,-0.01777470728304424,0.17807965640495216,Comércio e Distribuição,0.22101541039143235
var_dolar,-0.9178382217664591,1.5335720674351236e-10,Comércio e Distribuição,0.22101541039143235
ibc_var,-0.13808565440361292,0.7108313466314243,Comércio e Distribuição,0.22101541039143235
const,-0.0024794905746812006,0.707382938944074,Construção Civil,0.2854756613465278
delta_selic,-0.047379025577071354,0.007980434058349526,Construção Civil,0.2854756613465278
delta_ipca,-0.039697588428120135,0.03805631616871222,Construção Civil,0.2854756613465278
var_dolar,-1.496475439229806,1.0442472992988436e-12,Construção Civil,0.2854756613465278
ibc_var,0.808299177065275,0.1342774002518,Construção Civil,0.2854756613465278
const,0.002880963276965578,0.6873119614685033,Construção e Engenharia,0.16544541072835872
delta_selic,-0.021794991669098453,0.2563566570481695,Construção e Engenharia,0.16544541072835872
delta_ipca,-0.02405898241132389,0.2441044061540687,Construção e Engenharia,0.16544541072835872
var_dolar,-1.130545046685886,2.765216574006183e-07,Construção e Engenharia,0.16544541072835872
ibc_var,0.893816290590296,0.1265165728527574,Construção e Engenharia,0.16544541072835872
const,0.00945780130498741,0.18827230788435573,Diversos,0.18835298943630918
delta_selic,-0.043062340517749376,0.02596979248444355,Diversos,0.18835298943630918
delta_ipca,-0.03942607914670441,0.05758536685467593,Diversos,0.18835298943630918
var_dolar,-1.239207228328684,2.3569501742638018e-08,Diversos,0.18835298943630918
ibc_var,0.5125560188787701,0.3809429646900042,Diversos,0.18835298943630918
const,0.0016007118660828013,0.8253158799676019,Embalagens,0.12177305035610297
delta_selic,-0.0010446228224577497,0.9571142237344745,Embalagens,0.12177305035610297
delta_ipca,-0.0063005210224794245,0.7630255671716606,Embalagens,0.12177305035610297
var_dolar,-0.9520807157536061,1.5873134568877382e-05,Embalagens,0.12177305035610297
ibc_var,0.7976070940510127,0.17816796611640973,Embalagens,0.12177305035610297
const,0.009294789141899738,0.0015860999860690189,Energia Elétrica,0.24944757714169674
delta_selic,-0.013552482163406685,0.08264667023882769,Energia Elétrica,0.24944757714169674
delta_ipca,-0.01625212313427453,0.0532249361349615,Energia Elétrica,0.24944757714169674
var_dolar,-0.6200033541102139,1.361942808480731e-11,Energia Elétrica,0.24944757714169674
ibc_var,0.2603468227837745,0.27192945431625914,Energia Elétrica,0.24944757714169674
const,0.015344956649763913,0.13403640173650655,Equipamentos,0.05022746365237396
delta_selic,-0.008241522601378188,0.7579205970635087,Equipamentos,0.05022746365237396
delta_ipca,-0.028316499374215303,0.31823561693072644,Equipamentos,0.05022746365237396
var_dolar,-0.394021762447055,0.1846531841827932,Equipamentos,0.05022746365237396
ibc_var,1.616297629481097,0.04459799793054149,Equipamentos,0.05022746365237396
const,0.007496970371171942,0.08311806350742906,Exploração de Imóveis,0.2940848627286493
delta_selic,-0.03521407629470343,0.002580667200747068,Exploração de Imóveis,0.2940848627286493
delta_ipca,-0.01349142060328113,0.27790573698502774,Exploração de Imóveis,0.2940848627286493
var_dolar,-0.9969402498022486,4.004487720890235e-13,Exploração de Imóveis,0.2940848627286493
ibc_var,0.5158476559199946,0.1429427415834712,Exploração de Imóveis,0.2940848627286493
const,0.01651672964006807,0.014509223896119671,Gás,0.0432933772143399
delta_selic,-0.012259167756858137,0.49500140152638505,Gás,0.0432933772143399
delta_ipca,-0.004997253968766216,0.7958277575528141,Gás,0.0432933772143399
var_dolar,-0.23290197456195935,0.24220066318541114,Gás,0.0432933772143399
ibc_var,1.2263870911901087,0.025724107791793946,Gás,0.0432933772143399
const,0.0032331000712542152,0.5404466350914501,Holdings Diversificadas,0.13024667949310076
delta_selic,-0.012407549115656627,0.38074177269556186,Holdings Diversificadas,0.13024667949310076
delta_ipca,-0.0032536863686935293,0.8306163501791342,Holdings Diversificadas,0.13024667949310076
var_dolar,-0.7425930842885072,4.061206060662412e-06,Holdings Diversificadas,0.13024667949310076
ibc_var,0.4595446351490928,0.28613227481430203,Holdings Diversificadas,0.13024667949310076
const,-0.0012643094730226362,0.8819037812864621,Hoteis e Restaurantes,0.12693344994264888
delta_selic,-0.047064922722843294,0.04008628004499258,Hoteis e Restaurantes,0.12693344994264888
delta_ipca,-0.02613511819512354,0.28721149948596597,Hoteis e Restaurantes,0.12693344994264888
var_dolar,-1.127116109573493,1.3471877469291528e-05,Hoteis e Restaurantes,0.12693344994264888
ibc_var,0.677618130145274,0.3291344695286823,Hoteis e Restaurantes,0.12693344994264888
const,0.01419628679698964,0.00010366734122812026,Intermediários Financeiros,0.32931800057291194
delta_selic,-0.028662374460209562,0.0031641826749260237,Intermediários Financeiros,0.32931800057291194
delta_ipca,-0.016462550493251564,0.11200441900638235,Intermediários Financeiros,0.32931800057291194
var_dolar,-0.9033401019006952,5.612174781552202e-15,Intermediários Financeiros,0.32931800057291194
ibc_var,0.500155706732437,0.0879582392631988,Intermediários Financeiros,0.32931800057291194
const,0.007307328705030452,0.11917343526979977,Madeira e Papel,0.06737333141030166
delta_selic,-0.028784193450159437,0.022438196150660582,Madeira e Papel,0.06737333141030166
delta_ipca,-0.009606996879830028,0.47590954215449555,Madeira e Papel,0.06737333141030166
var_dolar,-0.34808791385483795,0.01276844150079605,Madeira e Papel,0.06737333141030166
ibc_var,0.39562952766178805,0.299635365928651,Madeira e Papel,0.06737333141030166
const,0.009896753378913822,0.4534487754922266,Materiais Diversos,0.08484440100600665
delta_selic,-0.0620383273874385,0.07754875802225396,Materiais Diversos,0.08484440100600665
delta_ipca,0.02622518569501866,0.5101278399654808,Materiais Diversos,0.08484440100600665
var_dolar,-1.1849387166001235,0.0028202402902400216,Materiais Diversos,0.08484440100600665
ibc_var,1.211907488348877,0.26222818443694607,Materiais Diversos,0.08484440100600665
const,0.005730958290641313,0.33012316467374436,Material de Transporte,0.12643226783026074
delta_selic,-0.02946038639852668,0.06252194740838037,Material de Transporte,0.12643226783026074
delta_ipca,0.002260141747781959,0.8938207655426712,Material de Transporte,0.12643226783026074
var_dolar,-0.6815495665191518,0.00012654989961045365,Material de Transporte,0.12643226783026074
ibc_var,0.9339044501419942,0.052363070477080116,Material de Transporte,0.12643226783026074
const,0.007238192611014237,0.30872054295522205,Medicamentos e Outros Produtos,0.06411564397563685
delta_selic,-0.046702849812654476,0.014861471239184689,Medicamentos e Outros Produtos,0.06411564397563685
delta_ipca,-0.012363923961616261,0.5458186754474125,Medicamentos e Outros Produtos,0.06411564397563685
var_dolar,-0.4204351639870879,0.047048620329941476,Medicamentos e Outros Produtos,0.06411564397563685
ibc_var,0.7887811980519537,0.17389960542394503,Medicamentos e Outros Produtos,0.06411564397563685
const,-0.004993812770994872,0.5599199274517661,Mineração,0.048560936786030684
delta_selic,-0.02454299903578572,0.28532614656720773,Mineração,0.048560936786030684
delta_ipca,0.011234503492485313,0.6489116196563687,Mineração,0.048560936786030684
var_dolar,-0.701467804168936,0.00624496846597815,Mineração,0.048560936786030684
ibc_var,0.04741054397371591,0.9458257773110739,Mineração,0.048560936786030684
const,0.004863880702165202,0.2702414910146224,Máquinas e Equipamentos,0.25381761527807345
delta_selic,-0.03832901159064995,0.001355566255372578,Máquinas e Equipamentos,0.25381761527807345
delta_ipca,-0.030557856499263167,0.016868353580136723,Máquinas e Equipamentos,0.25381761527807345
var_dolar,-0.8126679809488282,3.0415789520816602e-09,Máquinas e Equipamentos,0.25381761527807345
ibc_var,0.8692238189100947,0.016258896434695358,Máquinas e Equipamentos,0.25381761527807345
const,-0.028335631266196325,0.12823822955014302,Outros,0.012756764486663519
delta_selic,-0.05461293574625431,0.2730357362051196,Outros,0.012756764486663519
delta_ipca,-0.014237632348900391,0.7901798302228451,Outros,0.012756764486663519
var_dolar,-0.5660887593947517,0.30470013289589604,Outros,0.012756764486663519
ibc_var,0.4811060909509134,0.750574160398521,Outros,0.012756764486663519
const,-0.0015444489265634947,0.8031902279039201,"Petróleo, Gás e Biocombustíveis",0.2491432178664399
delta_selic,-0.03907933101388367,0.01943553095129905,"Petróleo, Gás e Biocombustíveis",0.2491432178664399
delta_ipca,-0.028725043593942,0.10885058895639602,"Petróleo, Gás e Biocombustíveis",0.2491432178664399
var_dolar,-1.3893908100658425,1.6769660328919416e-12,"Petróleo, Gás e Biocombustíveis",0.2491432178664399
ibc_var,-0.32931449673107493,0.5145270698086944,"Petróleo, Gás e Biocombustíveis",0.2491432178664399
const,0.006857500394447192,0.12084943560395181,Previdência e Seguros,0.18187648535663514
delta_selic,-0.014275451182609863,0.22740299143351708,Previdência e Seguros,0.18187648535663514
delta_ipca,-0.018447131694203152,0.14735381099737221,Previdência e Seguros,0.18187648535663514
var_dolar,-0.7315074438782436,7.41304546893946e-08,Previdência e Seguros,0.18187648535663514
ibc_var,0.6028870499799613,0.09438332066819585,Previdência e Seguros,0.18187648535663514
const,0.0008650688569271613,0.8971596817632744,Produtos de Cuidado Pessoal e de Limpeza,0.2380767995351606
delta_selic,-0.08015094989379928,1.3190185317699168e-05,Produtos de Cuidado Pessoal e de Limpeza,0.2380767995351606
delta_ipca,-0.030740001136426692,0.11212057091014244,Produtos de Cuidado Pessoal e de Limpeza,0.2380767995351606
var_dolar,-1.2759247475596722,1.0088264316608332e-09,Produtos de Cuidado Pessoal e de Limpeza,0.2380767995351606
ibc_var,-0.2632668751435968,0.6294020776561935,Produtos de Cuidado Pessoal e de Limpeza,0.2380767995351606
const,0.0024395399753198736,0.6915301717222067,Programas e Serviços,0.1376331397192766
delta_selic,-0.059794856138944655,0.00035794191134946754,Programas e Serviços,0.1376331397192766
delta_ipca,-0.024095187404977313,0.17474097267742167,Programas e Serviços,0.1376331397192766
var_dolar,-0.7347733937986766,7.937538030904874e-05,Programas e Serviços,0.1376331397192766
ibc_var,0.251368501980062,0.615909805986243,Programas e Serviços,0.1376331397192766
const,0.011616838438334316,0.05669544367506142,Químicos,0.08721412070685519
delta_selic,-0.023732224159152014,0.14529998518216417,Químicos,0.08721412070685519
delta_ipca,-0.02164540315900755,0.2164884721886019,Químicos,0.08721412070685519
var_dolar,-0.690720182753216,0.0001657138825654097,Químicos,0.08721412070685519
ibc_var,0.10685069134021574,0.8288758266409977,Químicos,0.08721412070685519
const,0.006525981174804443,0.19295587566037886,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.13175697766401606
delta_selic,-0.03405949430028172,0.011714163745395571,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.13175697766401606
delta_ipca,-0.011734606550399845,0.415847970347058,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.13175697766401606
var_dolar,-0.7081669063757137,3.5363305090445763e-06,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.13175697766401606
ibc_var,-0.057389209176920364,0.8880167347478225,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.13175697766401606
const,-0.009273407486640649,0.29706573833169103,Serviços,0.09449453108830641
delta_selic,-0.012206608136745047,0.6079671630411692,Serviços,0.09449453108830641
delta_ipca,-0.05769463742272386,0.025105334425619463,Serviços,0.09449453108830641
var_dolar,-1.0338649874558965,0.00011925232299681329,Serviços,0.09449453108830641
ibc_var,-0.05569780519605444,0.9386477290737099,Serviços,0.09449453108830641
const,0.012292512702995036,0.024699652182559765,Serviços Financeiros Diversos,0.2049618705820313
delta_selic,-0.050356015113362254,0.000662788269495075,Serviços Financeiros Diversos,0.2049618705820313
delta_ipca,-0.011142409747375431,0.47709511742741895,Serviços Financeiros Diversos,0.2049618705820313
var_dolar,-0.933658195543816,2.810606307695686e-08,Serviços Financeiros Diversos,0.2049618705820313
ibc_var,0.4507696007236988,0.30951179791786027,Serviços Financeiros Diversos,0.2049618705820313
const,0.00218241168591743,0.7006057231642897,Siderurgia e Metalurgia,0.19129116783856592
delta_selic,-0.023565864703425025,0.12227126857216619,Siderurgia e Metalurgia,0.19129116783856592
