variavel,coef,pvalor,ticker,r2
const,-0.01785717912383726,0.44215887187517544,AALR3,0.1068200775240814
delta_selic,0.06598510564494617,0.2494517116668907,AALR3,0.1068200775240814
delta_ipca,-0.04351175329926728,0.49698036665655454,AALR3,0.1068200775240814
var_dolar,-1.4162007703259578,0.10226940843879379,AALR3,0.1068200775240814
ibc_var,0.96673865319482,0.5346020589678107,AALR3,0.1068200775240814
const,0.01576212438121609,0.02830433614233646,ABCB4,0.3259268635782361
delta_selic,-0.005100067293260151,0.7976767881498252,ABCB4,0.3259268635782361
delta_ipca,-0.028112422485996325,0.19631719455437147,ABCB4,0.3259268635782361
var_dolar,-1.5941808900724308,2.8685925382886276e-11,ABCB4,0.3259268635782361
ibc_var,-0.44535434635384175,0.41523953291190885,ABCB4,0.3259268635782361
const,0.002583915922161163,0.6812826924201691,ABEV3,0.11380229269275044
delta_selic,0.012212863112337375,0.4683480629245105,ABEV3,0.11380229269275044
delta_ipca,0.012923312239585101,0.46271895366153837,ABEV3,0.11380229269275044
var_dolar,-0.4489122136081027,0.01800425013479427,ABEV3,0.11380229269275044
ibc_var,0.2820605990705656,0.5206536810181899,ABEV3,0.11380229269275044
const,0.018526994361701358,0.6765358464332869,ADHM3,0.1488959970198469
delta_selic,0.05534851714606866,0.656075768883013,ADHM3,0.1488959970198469
delta_ipca,-0.04713932209659405,0.627839674658689,ADHM3,0.1488959970198469
var_dolar,-1.644567057405395,0.1418281899940046,ADHM3,0.1488959970198469
ibc_var,-3.0107845907258377,0.09015110457977288,ADHM3,0.1488959970198469
const,0.014336709419071567,0.5199319516571199,AEDU3,0.11331083912230266
delta_selic,-0.014370209501590344,0.8703326564768221,AEDU3,0.11331083912230266
delta_ipca,0.07600169165770886,0.4892725829915622,AEDU3,0.11331083912230266
var_dolar,-0.665141158159658,0.41666997104029546,AEDU3,0.11331083912230266
ibc_var,-3.999120783557256,0.21603776411775966,AEDU3,0.11331083912230266
const,-0.03774443675770771,0.1169194056613982,AELP3,0.15854272557350557
delta_selic,0.11837316032035071,0.1370334512179772,AELP3,0.15854272557350557
delta_ipca,-0.09089960477047561,0.28464823931853994,AELP3,0.15854272557350557
var_dolar,-1.0274154662964219,0.07924372335444226,AELP3,0.15854272557350557
ibc_var,-0.46851968031681146,0.8905037491202517,AELP3,0.15854272557350557
const,-0.07712243436579974,0.018289083055217002,AERI3,0.10496490964280814
delta_selic,-0.024363323687758565,0.7322892084304449,AERI3,0.10496490964280814
delta_ipca,-0.13650025224361143,0.07124450305593588,AERI3,0.10496490964280814
var_dolar,-1.3869319628506138,0.2748345931273295,AERI3,0.10496490964280814
ibc_var,0.4812788515252313,0.8654383515703796,AERI3,0.10496490964280814
const,0.027706260493701337,0.3664540119566211,AFLT3,0.06887808988885114
delta_selic,-0.06279250717531151,0.4301458549671625,AFLT3,0.06887808988885114
delta_ipca,-0.04765138942708127,0.587669082940804,AFLT3,0.06887808988885114
var_dolar,-0.6497995432531766,0.5746221179612029,AFLT3,0.06887808988885114
ibc_var,1.8469411168984875,0.3245795295033377,AFLT3,0.06887808988885114
const,0.0030983231880895366,0.6763149183824009,AGRO3,0.05856108229641177
delta_selic,-0.015118121013801077,0.46661079428389585,AGRO3,0.05856108229641177
delta_ipca,-0.029977378080123223,0.1864778266129775,AGRO3,0.05856108229641177
var_dolar,-0.5478598371320098,0.016992952909495256,AGRO3,0.05856108229641177
ibc_var,-0.5163191560347096,0.3652214149429618,AGRO3,0.05856108229641177
const,-0.08258002634760395,0.04419965798939955,AGXY3,0.22186532850574514
delta_selic,0.11752215001543963,0.1985981534233521,AGXY3,0.22186532850574514
delta_ipca,-0.21292478745113438,0.042492036764278186,AGXY3,0.22186532850574514
var_dolar,-2.5435896601284314,0.17686622294664087,AGXY3,0.22186532850574514
ibc_var,0.6515485928952125,0.8864940382336248,AGXY3,0.22186532850574514
const,-0.0015546850927206281,0.9577358763035639,ALLD3,0.28119547826103863
delta_selic,-0.01945404451125597,0.772197197699541,ALLD3,0.28119547826103863
delta_ipca,-0.16074651422526354,0.03505878643895611,ALLD3,0.28119547826103863
var_dolar,-3.692405421732884,0.004892336792148507,ALLD3,0.28119547826103863
ibc_var,-1.2750145432930586,0.7078268029526404,ALLD3,0.28119547826103863
const,0.00859624512034483,0.3039128360106105,ALOS3,0.21187359962371055
delta_selic,-0.009592269067071061,0.6799743138199372,ALOS3,0.21187359962371055
delta_ipca,-0.018991193561409343,0.4475392635018953,ALOS3,0.21187359962371055
var_dolar,-1.1874225199462929,5.5136648846968815e-06,ALOS3,0.21187359962371055
ibc_var,0.5611236265293738,0.3689683231748253,ALOS3,0.21187359962371055
const,0.006958287430922248,0.490950001566098,ALPA4,0.05572744544719599
delta_selic,0.003383797900485905,0.9045539812392287,ALPA4,0.05572744544719599
delta_ipca,-0.030270815624733757,0.32598004589194884,ALPA4,0.05572744544719599
var_dolar,-0.6222843026228426,0.04548330963323305,ALPA4,0.05572744544719599
ibc_var,0.6502017548264769,0.4018095205069183,ALPA4,0.05572744544719599
const,0.015596261055646179,0.6796315903839727,ALPK3,0.18932552294927385
delta_selic,-0.09778340847231454,0.24726359077361412,ALPK3,0.18932552294927385
delta_ipca,-0.16313851881333774,0.08536791001966264,ALPK3,0.18932552294927385
var_dolar,-3.38032635658564,0.017841416658477407,ALPK3,0.18932552294927385
ibc_var,-4.279449181551558,0.13894083063363422,ALPK3,0.18932552294927385
const,0.015733181535428457,0.06453106158160932,ALSC3,0.22678564931456124
delta_selic,-0.021481016465751544,0.42385759613917706,ALSC3,0.22678564931456124
delta_ipca,-0.015439431385848124,0.6032768546018183,ALSC3,0.22678564931456124
var_dolar,-0.9975786229176251,3.773231774323569e-05,ALSC3,0.22678564931456124
ibc_var,0.3919091301033433,0.752844051205835,ALSC3,0.22678564931456124
const,0.007467455256781024,0.21078403946489788,ALUP11,0.18719335493279865
delta_selic,0.012378150087853333,0.4387768373982446,ALUP11,0.18719335493279865
delta_ipca,-0.03746721750131933,0.0281354639077292,ALUP11,0.18719335493279865
var_dolar,-0.7021746355005556,0.0001380706082571894,ALUP11,0.18719335493279865
ibc_var,-0.0923291535858316,0.8261172958360805,ALUP11,0.18719335493279865
const,-0.019894694180922008,0.23109609927375718,AMAR3,0.19715214806835824
delta_selic,0.003518391398141439,0.9400425221779605,AMAR3,0.19715214806835824
delta_ipca,-0.08277200241472403,0.10161385079245826,AMAR3,0.19715214806835824
var_dolar,-2.526239016148655,1.8245918324043145e-06,AMAR3,0.19715214806835824
ibc_var,-0.6233869771486815,0.6196409542886059,AMAR3,0.19715214806835824
const,-0.11878007404322902,0.25664827032498333,AMBP3,0.039034686779411465
delta_selic,0.17660989775157002,0.4631126382856062,AMBP3,0.039034686779411465
delta_ipca,0.24444616041595532,0.3359599346507478,AMBP3,0.039034686779411465
var_dolar,0.322841981554002,0.9369277086729382,AMBP3,0.039034686779411465
ibc_var,1.1390357621282712,0.898999220341885,AMBP3,0.039034686779411465
const,0.01949686947069556,0.1367554834120697,AMBV4,0.0730211773508227
delta_selic,0.012670310316457687,0.7508113333087783,AMBV4,0.0730211773508227
delta_ipca,0.07373266074231322,0.18425379826306,AMBV4,0.0730211773508227
var_dolar,0.1927856783614588,0.6260656056258976,AMBV4,0.0730211773508227
ibc_var,-0.699778987681023,0.7123460041603193,AMBV4,0.0730211773508227
const,-0.03316943088152134,0.1216482658200904,AMER3,0.07398666218818495
delta_selic,-0.04980698454607901,0.4041313846744977,AMER3,0.07398666218818495
delta_ipca,-0.09690031105707467,0.13769071576989894,AMER3,0.07398666218818495
var_dolar,-1.6775619119550733,0.011115786001459559,AMER3,0.07398666218818495
ibc_var,-2.4908902427798427,0.12972065469517674,AMER3,0.07398666218818495
const,0.02292203182119906,0.14335760094510888,AMIL3,0.13935203133630025
delta_selic,-0.02295140683557558,0.6407370050749029,AMIL3,0.13935203133630025
delta_ipca,-0.06951701514060521,0.3006559440736607,AMIL3,0.13935203133630025
var_dolar,-0.7291353552641355,0.139106433778991,AMIL3,0.13935203133630025
ibc_var,0.24046914678616105,0.912178139984781,AMIL3,0.13935203133630025
const,0.013280537927675976,0.46573223677939124,ANIM3,0.19981896296864998
delta_selic,0.0003055699322642019,0.9949846729686409,ANIM3,0.19981896296864998
delta_ipca,-0.11526988418159376,0.025307162622804427,ANIM3,0.19981896296864998
var_dolar,-2.2019895948664274,9.556858028049705e-05,ANIM3,0.19981896296864998
ibc_var,-0.02678461598894899,0.9831460703751285,ANIM3,0.19981896296864998
const,-0.010029342524374034,0.4524485817886661,APER3,0.21559510920797342
delta_selic,-0.06761909720390938,0.07370955744973619,APER3,0.21559510920797342
delta_ipca,0.01923713434689287,0.6569345187335986,APER3,0.21559510920797342
