variavel,coef,pvalor
const,0.007681098751952499,0.08115819818807156
delta_selic,-0.019363563076407644,0.0608870443891004
delta_ipca,-0.010207735768653046,0.46870533602141373
var_dolar,-1.1298329282167545,9.574535683068807e-17
ibc_var,-0.30619185996140663,0.41125712500768685
